system,DODPBE/def2-QZVP/ORCA
S22x5/10-1.0,-308.3004060881
S22x5/10-1.2,-308.2996660021
S22x5/10-1.5,-308.2981402127
S22x5/10-2.0,-308.2969357979
S22x5/11-A,-231.9315432367
S22x5/11-B,-56.4999421208
S22x5/11-0.9,-288.4328642113
S22x5/11-1.0,-288.4338199898
S22x5/11-1.2,-288.4335277663
S22x5/11-1.5,-288.4325720092
S22x5/11-2.0,-288.4318522712
S22x5/12-A,-231.931553918
S22x5/12-B,-40.460432744
S22x5/12-0.9,-272.3916052274
S22x5/12-1.0,-272.392774739
S22x5/12-1.2,-272.3929244115
S22x5/12-1.5,-272.3924259226
S22x5/12-2.0,-272.3920930566
S22x5/13-A,-231.9315431003
S22x5/13-B,-231.9315422499
S22x5/13-0.9,-463.8632736828
S22x5/13-1.0,-463.8649534046
S22x5/13-1.2,-463.865159061
S22x5/13-1.5,-463.8642333262
S22x5/13-2.0,-463.8634595577
S22x5/14-A,-231.9315448002
S22x5/14-B,-231.9315448004
S22x5/14-0.9,-463.856940673
S22x5/14-1.0,-463.8631792855
S22x5/14-1.2,-463.8642206392
S22x5/14-1.5,-463.8633759177
S22x5/14-2.0,-463.8630940011
S22x5/15-A,-231.9315099974
S22x5/15-B,-363.3437952621
S22x5/15-0.9,-595.2788514654
S22x5/15-1.0,-595.2810257794
S22x5/15-1.2,-595.2809014682
S22x5/15-1.5,-595.2787802609
S22x5/15-2.0,-595.2767465798
S22x5/16-A,-231.9315278741
S22x5/16-B,-363.3437671544
S22x5/16-0.9,-595.2691899808
S22x5/16-1.0,-595.2766011923
S22x5/16-1.2,-595.277496261
S22x5/16-1.5,-595.2758161868
S22x5/16-2.0,-595.2751766552
S22x5/17-A,-263.9853207201
S22x5/17-B,-263.9853149464
S22x5/17-0.9,-527.9664474476
S22x5/17-1.0,-527.9730100846
S22x5/17-1.2,-527.9733224697
S22x5/17-1.5,-527.9715911755
S22x5/17-2.0,-527.9708140509
S22x5/18-A,-323.1350171214
S22x5/18-B,-303.2715842032
S22x5/18-0.9,-626.4279493524
S22x5/18-1.0,-626.4305995667
S22x5/18-1.2,-626.4267978572
S22x5/18-1.5,-626.4185508684
S22x5/18-2.0,-626.4114461178
S22x5/19-A,-307.0922893753
S22x5/19-B,-307.0922948723
S22x5/19-0.9,-614.191052291
S22x5/19-1.0,-614.1926118368
S22x5/19-1.2,-614.1916254507
S22x5/19-1.5,-614.1888711682
S22x5/19-2.0,-614.1863755019
S22x5/20-A,-414.3703405236
S22x5/20-B,-414.3703405237
S22x5/20-0.9,-828.7415809553
S22x5/20-1.0,-828.749459162
S22x5/20-1.2,-828.747660455
S22x5/20-1.5,-828.7436680455
S22x5/20-2.0,-828.7416116685
S22x5/21-A,-414.3695683994
S22x5/21-B,-414.3695683995
S22x5/21-0.9,-828.765650025
S22x5/21-1.0,-828.7685800782
S22x5/21-1.2,-828.7640582279
S22x5/21-1.5,-828.7544681554
S22x5/21-2.0,-828.7459258043
S22x5/22-A,-231.9315202799
S22x5/22-B,-93.3165787462
S22x5/22-0.9,-325.2526203372
S22x5/22-1.0,-325.2538190248
S22x5/22-1.2,-325.2530977672
S22x5/22-1.5,-325.2510924811
S22x5/22-2.0,-325.2493716745
S66x8/01-A,-76.364742263
S66x8/01-B,-76.3647322149
S66x8/01-090,-152.7364803364
S66x8/01-095,-152.736983295
S66x8/01-100,-152.7370198253
S66x8/01-105,-152.7367752195
S66x8/01-110,-152.7363735322
S66x8/01-125,-152.7348810505
S66x8/01-150,-152.7328171936
S66x8/01-200,-152.7308466633
S66x8/02-A,-76.3647451035
S66x8/02-B,-115.604653226
S66x8/02-090,-191.9767937226
S66x8/02-095,-191.9774099007
S66x8/02-100,-191.9775000357
S66x8/02-105,-191.9772679095
S66x8/02-110,-191.9768510918
S66x8/02-125,-191.975243409
S66x8/02-150,-191.972974605
S66x8/02-200,-191.970811722
S66x8/03-A,-76.3647442678
S66x8/03-B,-95.7453503223
S66x8/03-090,-172.1198336191
S66x8/03-095,-172.1204353682
S66x8/03-100,-172.1204569021
S66x8/03-105,-172.1201183433
S66x8/03-110,-172.1195698308
S66x8/03-125,-172.1175035628
S66x8/03-150,-172.114561084
S66x8/03-200,-172.1117276751
S66x8/04-A,-76.3647451416
S66x8/04-B,-248.2431040805
S66x8/04-090,-324.6184075563
S66x8/04-095,-324.6191453311
S66x8/04-100,-324.6192622867
S66x8/04-105,-324.6189884908
S66x8/04-110,-324.618480238
S66x8/04-125,-324.6164346404
S66x8/04-150,-324.6133751936
S66x8/04-200,-324.6098964855
S66x8/05-A,-115.60455678
S66x8/05-B,-115.6046664156
S66x8/05-090,-231.216527289
S66x8/05-095,-231.2172560733
S66x8/05-100,-231.2174271461
S66x8/05-105,-231.2172522296
S66x8/05-110,-231.2168735494
S66x8/05-125,-231.2153073816
S66x8/05-150,-231.2130072482
S66x8/05-200,-231.2107680195
S66x8/06-A,-115.6043241705
S66x8/06-B,-95.7453491846
S66x8/06-090,-211.3594263042
S66x8/06-095,-211.3603173176
S66x8/06-100,-211.3605282753
S66x8/06-105,-211.3603052577
S66x8/06-110,-211.3598183106
S66x8/06-125,-211.3577693688
S66x8/06-150,-211.3546780139
S66x8/06-200,-211.3516314562
S66x8/07-A,-115.604430041
S66x8/07-B,-248.2430821473
S66x8/07-090,-363.8578039362
S66x8/07-095,-363.8587152459
S66x8/07-100,-363.8589541043
S66x8/07-105,-363.8587638735
S66x8/07-110,-363.8583105058
S66x8/07-125,-363.8563257842
S66x8/07-150,-363.8528123142
S66x8/07-200,-363.8491611049
S66x8/08-A,-115.604585152
S66x8/08-B,-76.3647345771
S66x8/08-090,-191.9761551356
S66x8/08-095,-191.9767635307
S66x8/08-100,-191.9768760769
S66x8/08-105,-191.9766849892
S66x8/08-110,-191.9763191299
S66x8/08-125,-191.9748708507
S66x8/08-150,-191.972795372
S66x8/08-200,-191.9707879492
S66x8/09-A,-95.7452908788
S66x8/09-B,-115.6046742727
S66x8/09-090,-211.3530003348
S66x8/09-095,-211.353545499
S66x8/09-100,-211.3537108045
S66x8/09-105,-211.3536501091
S66x8/09-110,-211.3534595078
S66x8/09-125,-211.3526526063
S66x8/09-150,-211.3515437433
S66x8/09-200,-211.3505826999
S66x8/10-A,-95.745310378
S66x8/10-B,-95.7453295338
S66x8/10-090,-191.4944881428
S66x8/10-095,-191.4953401863
S66x8/10-100,-191.495645724
S66x8/10-105,-191.4956103697
S66x8/10-110,-191.4953817862
S66x8/10-125,-191.4943044873
S66x8/10-150,-191.4924449775
S66x8/10-200,-191.4912026446
S66x8/11-A,-95.7451537979
S66x8/11-B,-248.243225819
S66x8/11-090,-343.9933255918
S66x8/11-095,-343.994274592
S66x8/11-100,-343.9946444372
S66x8/11-105,-343.9946479269
S66x8/11-110,-343.9944285464
S66x8/11-125,-343.9925757524
S66x8/11-150,-343.9903796518
S66x8/11-200,-343.9891448267
S66x8/12-A,-95.7453161155
S66x8/12-B,-76.3643463747
S66x8/12-090,-172.119761268
S66x8/12-095,-172.1205292169
S66x8/12-100,-172.12064775
S66x8/12-105,-172.1203591296
S66x8/12-110,-172.1198296337
S66x8/12-125,-172.1177325393
S66x8/12-150,-172.1146874146
S66x8/12-200,-172.1117463454
S66x8/13-A,-248.2431647755
S66x8/13-B,-115.6046747175
S66x8/13-090,-363.8547218431
S66x8/13-095,-363.8556003212
S66x8/13-100,-363.855904775
S66x8/13-105,-363.8558439945
S66x8/13-110,-363.8555615705
S66x8/13-125,-363.8542008615
S66x8/13-150,-363.8520457229
S66x8/13-200,-363.8497892288
S66x8/14-A,-248.2429543641
S66x8/14-B,-95.745320432
S66x8/14-090,-343.9969127652
S66x8/14-095,-343.9979225261
S66x8/14-100,-343.9982664508
S66x8/14-105,-343.9981805924
S66x8/14-110,-343.997827917
S66x8/14-125,-343.996124519
S66x8/14-150,-343.9933760239
S66x8/14-200,-343.9905070657
S66x8/15-A,-248.2429800506
S66x8/15-B,-248.2430911584
S66x8/15-090,-496.4957204652
S66x8/15-095,-496.4967628858
S66x8/15-100,-496.4971367499
S66x8/15-105,-496.4970740723
S66x8/15-110,-496.4967365005
S66x8/15-125,-496.495029209
S66x8/15-150,-496.4921697054
S66x8/15-200,-496.4886490893
S66x8/16-A,-248.2431454774
S66x8/16-B,-76.3647368613
S66x8/16-090,-324.6143912802
S66x8/16-095,-324.615065317
S66x8/16-100,-324.6152501222
S66x8/16-105,-324.6151323563
S66x8/16-110,-324.6148381239
S66x8/16-125,-324.6135649877
S66x8/16-150,-324.6116467015
S66x8/16-200,-324.6096797374
S66x8/17-A,-414.36976899
S66x8/17-B,-414.369910793
S66x8/17-090,-828.7615952613
S66x8/17-095,-828.7635664418
S66x8/17-100,-828.7641222626
S66x8/17-105,-828.76375597
S66x8/17-110,-828.7628124984
S66x8/17-125,-828.7585557955
S66x8/17-150,-828.7517202789
S66x8/17-200,-828.7445743356
S66x8/18-A,-76.36474579
S66x8/18-B,-247.960293287
S66x8/18-090,-324.3344229861
S66x8/18-095,-324.3350834225
S66x8/18-100,-324.3351502091
S66x8/18-105,-324.3348474728
S66x8/18-110,-324.3343285975
S66x8/18-125,-324.3323294186
S66x8/18-150,-324.3294662662
S66x8/18-200,-324.3267122434
S66x8/19-A,-115.6043417832
S66x8/19-B,-247.9602856221
S66x8/19-090,-363.5739983094
S66x8/19-095,-363.5748857912
S66x8/19-100,-363.5751045114
S66x8/19-105,-363.5748976723
S66x8/19-110,-363.5745027351
S66x8/19-125,-363.5724468588
S66x8/19-150,-363.5694963647
S66x8/19-200,-363.5664894579
S66x8/20-A,-228.8540886144
S66x8/20-B,-228.8540887053
S66x8/20-090,-457.7344838178
S66x8/20-095,-457.7364985528
S66x8/20-100,-457.7369206434
S66x8/20-105,-457.7363187303
S66x8/20-110,-457.7350889847
S66x8/20-125,-457.7299611615
S66x8/20-150,-457.7219270708
S66x8/20-200,-457.7136189352
S66x8/21-A,-208.9896381319
S66x8/21-B,-208.9896413473
S66x8/21-090,-418.0007995226
S66x8/21-095,-418.0025853027
S66x8/21-100,-418.0030362676
S66x8/21-105,-418.0026273889
S66x8/21-110,-418.0016866981
S66x8/21-125,-417.9975977202
S66x8/21-150,-417.9911943969
S66x8/21-200,-417.9839062876
S66x8/22-A,-228.8540083712
S66x8/22-B,-414.369644223
S66x8/22-090,-643.2498700555
S66x8/22-095,-643.2518845086
S66x8/22-100,-643.2523891404
S66x8/22-105,-643.2519067745
S66x8/22-110,-643.2508059169
S66x8/22-125,-643.2459682878
S66x8/22-150,-643.2382088172
S66x8/22-200,-643.2298725757
S66x8/23-A,-208.9895456795
S66x8/23-B,-414.3694966043
S66x8/23-090,-623.384585149
S66x8/23-095,-623.3865200237
S66x8/23-100,-623.3870759529
S66x8/23-105,-623.3867175814
S66x8/23-110,-623.3857746394
S66x8/23-125,-623.3814230775
S66x8/23-150,-623.3741908277
S66x8/23-200,-623.3660892501
S66x8/24-A,-231.931568074
S66x8/24-B,-231.9315544631
S66x8/24-090,-463.8574106503
S66x8/24-095,-463.8613241329
S66x8/24-100,-463.8632447103
S66x8/24-105,-463.8640628965
S66x8/24-110,-463.864319337
S66x8/24-125,-463.8639942908
S66x8/24-150,-463.8633383543
S66x8/24-200,-463.8630908877
S66x8/25-A,-247.9602947221
S66x8/25-B,-247.960314473
S66x8/25-090,-495.9165659946
S66x8/25-095,-495.9204070479
S66x8/25-100,-495.9222952493
S66x8/25-105,-495.9230924612
S66x8/25-110,-495.9232800959
S66x8/25-125,-495.9226797425
S66x8/25-150,-495.9215404097
S66x8/25-200,-495.9208543522
S66x8/26-A,-414.3703404617
S66x8/26-B,-414.370340462
S66x8/26-090,-828.743893346
S66x8/26-095,-828.7477837829
S66x8/26-100,-828.7494590488
S66x8/26-105,-828.7498752802
S66x8/26-110,-828.7496042889
S66x8/26-125,-828.7474635021
S66x8/26-150,-828.7444068683
S66x8/26-200,-828.7419687166
S66x8/27-A,-231.9315668021
S66x8/27-B,-247.9603217834
S66x8/27-090,-479.886846711
S66x8/27-095,-479.890954492
S66x8/27-100,-479.8929221227
S66x8/27-105,-479.8937060489
S66x8/27-110,-479.8938988608
S66x8/27-125,-479.8933840712
S66x8/27-150,-479.8924490421
S66x8/27-200,-479.8919727075
S66x8/28-A,-231.9315018954
S66x8/28-B,-414.3708731521
S66x8/28-090,-646.3000413769
S66x8/28-095,-646.3038511986
S66x8/28-100,-646.3056787012
S66x8/28-105,-646.3063099782
S66x8/28-110,-646.3063332752
S66x8/28-125,-646.3052161682
S66x8/28-150,-646.3035620174
S66x8/28-200,-646.3025022106
S66x8/29-A,-247.9602793015
S66x8/29-B,-414.370850433
S66x8/29-090,-662.3287417047
S66x8/29-095,-662.3339294689
S66x8/29-100,-662.3361131489
S66x8/29-105,-662.3367389182
S66x8/29-110,-662.3366437344
S66x8/29-125,-662.3350810891
S66x8/29-150,-662.3330435532
S66x8/29-200,-662.331664324
S66x8/30-A,-231.931561498
S66x8/30-B,-78.4804896979
S66x8/30-090,-310.4088291348
S66x8/30-095,-310.4107788919
S66x8/30-100,-310.4117415579
S66x8/30-105,-310.412168077
S66x8/30-110,-310.4123169623
S66x8/30-125,-310.4122074403
S66x8/30-150,-310.4119697921
S66x8/30-200,-310.4119565701
S66x8/31-A,-414.3708985295
S66x8/31-B,-78.4804857167
S66x8/31-090,-492.851139631
S66x8/31-095,-492.8528233477
S66x8/31-100,-492.853600943
S66x8/31-105,-492.8538670386
S66x8/31-110,-492.8538568022
S66x8/31-125,-492.8532438261
S66x8/31-150,-492.852293955
S66x8/31-200,-492.8515890488
S66x8/32-A,-414.3709210934
S66x8/32-B,-77.2273136133
S66x8/32-090,-491.5986758416
S66x8/32-095,-491.6004365371
S66x8/32-100,-491.6011969119
S66x8/32-105,-491.6013910374
S66x8/32-110,-491.6012913249
S66x8/32-125,-491.6004211047
S66x8/32-150,-491.5992011305
S66x8/32-200,-491.5983206261
S66x8/33-A,-247.9603296338
S66x8/33-B,-78.4804677552
S66x8/33-090,-326.4386052054
S66x8/33-095,-326.4403008625
S66x8/33-100,-326.4411576308
S66x8/33-105,-326.4415362607
S66x8/33-110,-326.441643042
S66x8/33-125,-326.4414185457
S66x8/33-150,-326.4409944593
S66x8/33-200,-326.4407928842
S66x8/34-A,-197.5004086086
S66x8/34-B,-197.500373288
S66x8/34-090,-394.9987752426
S66x8/34-095,-395.0010034462
S66x8/34-100,-395.0021247545
S66x8/34-105,-395.0026344408
S66x8/34-110,-395.0027801026
S66x8/34-125,-395.0025151614
S66x8/34-150,-395.0017407525
S66x8/34-200,-395.0011911202
S66x8/35-A,-197.5003972236
S66x8/35-B,-197.5044023388
S66x8/35-090,-395.003036106
S66x8/35-095,-395.0048543297
S66x8/35-100,-395.005701928
S66x8/35-105,-395.0060498559
S66x8/35-110,-395.0061259762
S66x8/35-125,-395.0058802991
S66x8/35-150,-395.0053535738
S66x8/35-200,-395.0049892241
S66x8/36-A,-197.5044104787
S66x8/36-B,-197.5044313882
S66x8/36-090,-395.0078141802
S66x8/36-095,-395.0087547497
S66x8/36-100,-395.0092428033
S66x8/36-105,-395.009468583
S66x8/36-110,-395.0095287764
S66x8/36-125,-395.0093917881
S66x8/36-150,-395.0090564735
S66x8/36-200,-395.0087961728
S66x8/37-A,-196.29190101
S66x8/37-B,-197.5043331745
S66x8/37-090,-393.7941815745
S66x8/37-095,-393.7959791621
S66x8/37-100,-393.7968561431
S66x8/37-105,-393.7972466572
S66x8/37-110,-393.7973949224
S66x8/37-125,-393.7972423002
S66x8/37-150,-393.7967732676
S66x8/37-200,-393.7964029551
S66x8/38-A,-196.2918692311
S66x8/38-B,-196.291875245
S66x8/38-090,-392.5819814992
S66x8/38-095,-392.583692889
S66x8/38-100,-392.5846555024
S66x8/38-105,-392.5850593571
S66x8/38-110,-392.5851886026
S66x8/38-125,-392.5848908227
S66x8/38-150,-392.5842808791
S66x8/38-200,-392.5838596277
S66x8/39-A,-231.9315564182
S66x8/39-B,-196.2918527231
S66x8/39-090,-428.221149827
S66x8/39-095,-428.2237146006
S66x8/39-100,-428.2249998466
S66x8/39-105,-428.2255206327
S66x8/39-110,-428.2256112008
S66x8/39-125,-428.2250683397
S66x8/39-150,-428.2241684929
S66x8/39-200,-428.2235532269
S66x8/40-A,-231.9315510343
S66x8/40-B,-197.504413156
S66x8/40-090,-429.4344429326
S66x8/40-095,-429.4364237112
S66x8/40-100,-429.4373712493
S66x8/40-105,-429.4377340931
S66x8/40-110,-429.4377975431
S66x8/40-125,-429.4373559645
S66x8/40-150,-429.436601543
S66x8/40-200,-429.4360860983
S66x8/41-A,-414.3708910318
S66x8/41-B,-197.5004686884
S66x8/41-090,-611.8700353966
S66x8/41-095,-611.8724647629
S66x8/41-100,-611.8736392382
S66x8/41-105,-611.8741095036
S66x8/41-110,-611.8741548618
S66x8/41-125,-611.8732733996
S66x8/41-150,-611.8721206181
S66x8/41-200,-611.8714834824
S66x8/42-A,-414.3708901618
S66x8/42-B,-196.2918573126
S66x8/42-090,-610.6608886323
S66x8/42-095,-610.6633941267
S66x8/42-100,-610.6645514481
S66x8/42-105,-610.6649874236
S66x8/42-110,-610.6650515942
S66x8/42-125,-610.6644754323
S66x8/42-150,-610.6635381809
S66x8/42-200,-610.6629142692
S66x8/43-A,-414.370905515
S66x8/43-B,-197.5043302148
S66x8/43-090,-611.8743795273
S66x8/43-095,-611.8763695271
S66x8/43-100,-611.8772661753
S66x8/43-105,-611.877558007
S66x8/43-110,-611.8775401745
S66x8/43-125,-611.8769080006
S66x8/43-150,-611.875987093
S66x8/43-200,-611.8753656788
S66x8/44-A,-78.4804899728
S66x8/44-B,-197.500449585
S66x8/44-090,-275.980298825
S66x8/44-095,-275.9813263098
S66x8/44-100,-275.9818049851
S66x8/44-105,-275.981992666
S66x8/44-110,-275.9820148592
S66x8/44-125,-275.9817774581
S66x8/44-150,-275.9813529648
S66x8/44-200,-275.9810710379
S66x8/45-A,-77.2273202241
S66x8/45-B,-197.5004502321
S66x8/45-090,-274.7266005085
S66x8/45-095,-274.727870677
S66x8/45-100,-274.7284773236
S66x8/45-105,-274.7287115704
S66x8/45-110,-274.7287480001
S66x8/45-125,-274.7284884698
S66x8/45-150,-274.7280364777
S66x8/45-200,-274.7277226422
S66x8/46-A,-248.2432252447
S66x8/46-B,-197.5003677853
S66x8/46-090,-445.7435402609
S66x8/46-095,-445.745063946
S66x8/46-100,-445.7458498777
S66x8/46-105,-445.7461862032
S66x8/46-110,-445.7462377764
S66x8/46-125,-445.74576576
S66x8/46-150,-445.7446968949
S66x8/46-200,-445.743920108
S66x8/47-A,-231.9315439177
S66x8/47-B,-231.9314864041
S66x8/47-090,-463.8619586726
S66x8/47-095,-463.8640013257
S66x8/47-100,-463.8649378165
S66x8/47-105,-463.8652861124
S66x8/47-110,-463.8653163218
S66x8/47-125,-463.8647851152
S66x8/47-150,-463.8639338306
S66x8/47-200,-463.8633192952
S66x8/48-A,-247.9602991713
S66x8/48-B,-247.9602649815
S66x8/48-090,-495.9208994392
S66x8/48-095,-495.9226303477
S66x8/48-100,-495.923436361
S66x8/48-105,-495.9237181703
S66x8/48-110,-495.9236978987
S66x8/48-125,-495.9230274454
S66x8/48-150,-495.9219378621
S66x8/48-200,-495.9210425015
S66x8/49-A,-231.9315440324
S66x8/49-B,-247.9602872602
S66x8/49-090,-479.8914524417
S66x8/49-095,-479.893513861
S66x8/49-100,-479.8944379962
S66x8/49-105,-479.8947510864
S66x8/49-110,-479.8947438327
S66x8/49-125,-479.8940730894
S66x8/49-150,-479.8930414496
S66x8/49-200,-479.8922457115
S66x8/50-A,-231.9315379253
S66x8/50-B,-77.2273510286
S66x8/50-090,-309.1596765036
S66x8/50-095,-309.1611805634
S66x8/50-100,-309.1617885687
S66x8/50-105,-309.1619019527
S66x8/50-110,-309.1617821246
S66x8/50-125,-309.1609940106
S66x8/50-150,-309.1599457275
S66x8/50-200,-309.1591525442
S66x8/51-A,-77.2273271384
S66x8/51-B,-77.2273590392
S66x8/51-090,-154.4558474663
S66x8/51-095,-154.456354662
S66x8/51-100,-154.4565255361
S66x8/51-105,-154.4565066869
S66x8/51-110,-154.4563911936
S66x8/51-125,-154.4558959442
S66x8/51-150,-154.4552824122
S66x8/51-200,-154.4548350957
S66x8/52-A,-231.9315371809
S66x8/52-B,-228.8560481711
S66x8/52-090,-460.7910108886
S66x8/52-095,-460.792332754
S66x8/52-100,-460.7928443004
S66x8/52-105,-460.7928868687
S66x8/52-110,-460.792671507
S66x8/52-125,-460.791491828
S66x8/52-150,-460.7897920715
S66x8/52-200,-460.7883064511
S66x8/53-A,-231.9315393145
S66x8/53-B,-208.9905765236
S66x8/53-090,-440.9253804252
S66x8/53-095,-440.9264459119
S66x8/53-100,-440.9268828012
S66x8/53-105,-440.926932183
S66x8/53-110,-440.9267589406
S66x8/53-125,-440.9257645182
S66x8/53-150,-440.9242043344
S66x8/53-200,-440.922706939
S66x8/54-A,-231.9315310554
S66x8/54-B,-76.3646899471
S66x8/54-090,-308.2992451222
S66x8/54-095,-308.3001170811
S66x8/54-100,-308.3004044014
S66x8/54-105,-308.3003623043
S66x8/54-110,-308.3001424059
S66x8/54-125,-308.299199609
S66x8/54-150,-308.297930751
S66x8/54-200,-308.2968230356
S66x8/55-A,-231.9315196292
S66x8/55-B,-115.6046391104
S66x8/55-090,-347.5386103339
S66x8/55-095,-347.5399589693
S66x8/55-100,-347.5405362939
S66x8/55-105,-347.5406719656
S66x8/55-110,-347.5405522535
S66x8/55-125,-347.5396183411
S66x8/55-150,-347.5381780219
S66x8/55-200,-347.536878016
S66x8/56-A,-231.9315425598
S66x8/56-B,-95.7452997938
S66x8/56-090,-327.6774642922
S66x8/56-095,-327.6788504894
S66x8/56-100,-327.679494218
S66x8/56-105,-327.6797111921
S66x8/56-110,-327.6796614404
S66x8/56-125,-327.6789702346
S66x8/56-150,-327.6779599629
S66x8/56-200,-327.6771772697
S66x8/57-A,-231.9315218454
S66x8/57-B,-248.2432009482
S66x8/57-090,-480.1758792231
S66x8/57-095,-480.1785010163
S66x8/57-100,-480.1796361065
S66x8/57-105,-480.1799491769
S66x8/57-110,-480.1798465211
S66x8/57-125,-480.1786984286
S66x8/57-150,-480.1769850763
S66x8/57-200,-480.175553398
S66x8/58-A,-247.960259555
S66x8/58-B,-247.9602336844
S66x8/58-090,-495.9225065884
S66x8/58-095,-495.9243640151
S66x8/58-100,-495.9252387248
S66x8/58-105,-495.9251430323
S66x8/58-110,-495.9247163898
S66x8/58-125,-495.9232706753
S66x8/58-150,-495.9218221165
S66x8/58-200,-495.9208686911
S66x8/59-A,-77.2273670179
S66x8/59-B,-76.3647334539
S66x8/59-090,-153.5956302147
S66x8/59-095,-153.5961022565
S66x8/59-100,-153.5962152385
S66x8/59-105,-153.5961135408
S66x8/59-110,-153.5958901991
S66x8/59-125,-153.5949990204
S66x8/59-150,-153.5937736216
S66x8/59-200,-153.5926539343
S66x8/60-A,-77.2273175587
S66x8/60-B,-228.8560186071
S66x8/60-090,-306.0885950644
S66x8/60-095,-306.0895042552
S66x8/60-100,-306.0897531822
S66x8/60-105,-306.0896134817
S66x8/60-110,-306.0892562717
S66x8/60-125,-306.0877697563
S66x8/60-150,-306.0857558696
S66x8/60-200,-306.0840570615
S66x8/61-A,-197.5004246305
S66x8/61-B,-228.8561242175
S66x8/61-090,-426.3567337993
S66x8/61-095,-426.3575895994
S66x8/61-100,-426.3580374254
S66x8/61-105,-426.3582265351
S66x8/61-110,-426.3582543118
S66x8/61-125,-426.3579568328
S66x8/61-150,-426.3572142975
S66x8/61-200,-426.356705864
S66x8/62-A,-197.5004646009
S66x8/62-B,-208.9906219581
S66x8/62-090,-406.4913125005
S66x8/62-095,-406.4925195385
S66x8/62-100,-406.4931240086
S66x8/62-105,-406.4933446961
S66x8/62-110,-406.4933401018
S66x8/62-125,-406.4928673722
S66x8/62-150,-406.4920147136
S66x8/62-200,-406.4913208736
S66x8/63-A,-231.9315579503
S66x8/63-B,-228.8560704977
S66x8/63-090,-460.787506965
S66x8/63-095,-460.7895331369
S66x8/63-100,-460.7904381775
S66x8/63-105,-460.7907219641
S66x8/63-110,-460.790664966
S66x8/63-125,-460.789876992
S66x8/63-150,-460.7887205944
S66x8/63-200,-460.7878989284
S66x8/64-A,-248.2432130878
S66x8/64-B,-78.48051132
S66x8/64-090,-326.724704404
S66x8/64-095,-326.7256680604
S66x8/64-100,-326.7260992872
S66x8/64-105,-326.7262202369
S66x8/64-110,-326.7261636337
S66x8/64-125,-326.7255921495
S66x8/64-150,-326.7246332156
S66x8/64-200,-326.7238776788
S66x8/65-A,-247.9603124169
S66x8/65-B,-77.227026838
S66x8/65-090,-325.1924230957
S66x8/65-095,-325.1930406537
S66x8/65-100,-325.1932074956
S66x8/65-105,-325.1930944857
S66x8/65-110,-325.1928186218
S66x8/65-125,-325.1916600173
S66x8/65-150,-325.1900131098
S66x8/65-200,-325.1885055207
S66x8/66-A,-95.7452758474
S66x8/66-B,-247.9603038061
S66x8/66-090,-343.7078641126
S66x8/66-095,-343.7088987452
S66x8/66-100,-343.7093743519
S66x8/66-105,-343.7095031344
S66x8/66-110,-343.7094207812
S66x8/66-125,-343.7086679429
S66x8/66-150,-343.70740662
S66x8/66-200,-343.7062293386
