system,Lh12ct-SsifPW92/def2-QZVP/TM
S22x5/15-B,-362.3661607767
S22x5/15-0.9,-593.6555660553
S22x5/15-1.0,-593.6601665991
S22x5/15-1.2,-593.6637111591
S22x5/15-1.5,-593.6647319464
S22x5/15-2.0,-593.6645950941
S22x5/16-A,-231.2975453253
S22x5/16-B,-362.366077493
S22x5/16-0.9,-593.6362658195
S22x5/16-1.0,-593.6497656674
S22x5/16-1.2,-593.6585956121
S22x5/16-1.5,-593.6619450947
S22x5/16-2.0,-593.6632162795
S22x5/17-A,-263.2923498106
S22x5/17-B,-263.2923471522
S22x5/17-0.9,-526.5633369515
S22x5/17-1.0,-526.5753163825
S22x5/17-1.2,-526.582304754
S22x5/17-1.5,-526.5843569576
S22x5/17-2.0,-526.584745422
S22x5/18-A,-322.3008876267
S22x5/18-B,-302.470501445
S22x5/18-0.9,-624.7819449877
S22x5/18-1.0,-624.7860080957
S22x5/18-1.2,-624.7849863738
S22x5/18-1.5,-624.7799272115
S22x5/18-2.0,-624.7753216817
S22x5/19-A,-306.2887338564
S22x5/19-B,-306.2887480301
S22x5/19-0.9,-612.5729766947
S22x5/19-1.0,-612.5763250523
S22x5/19-1.2,-612.5783605274
S22x5/19-1.5,-612.5786228274
S22x5/19-2.0,-612.5783551882
S22x5/20-A,-413.3370717752
S22x5/20-B,-413.3370717753
S22x5/20-0.9,-826.6529788951
S22x5/20-1.0,-826.6679983702
S22x5/20-1.2,-826.6749358575
S22x5/20-1.5,-826.6757467783
S22x5/20-2.0,-826.6750257605
S22x5/21-A,-413.3362975293
S22x5/21-B,-413.3362975292
S22x5/21-0.9,-826.6898982487
S22x5/21-1.0,-826.69395631
S22x5/21-1.2,-826.6918349937
S22x5/21-1.5,-826.6851035541
S22x5/21-2.0,-826.6787830166
S22x5/22-A,-231.2975720607
S22x5/22-B,-93.0746733215
S22x5/22-0.9,-324.3691368955
S22x5/22-1.0,-324.3718771491
S22x5/22-1.2,-324.3736343597
S22x5/22-1.5,-324.3737816063
S22x5/22-2.0,-324.373248746
S66x8/01-A,-76.1942830691
S66x8/01-B,-76.1942431614
S66x8/01-090,-152.3909321403
S66x8/01-095,-152.3918922005
S66x8/01-100,-152.3923632708
S66x8/01-105,-152.392528941
S66x8/01-110,-152.3925079934
S66x8/01-125,-152.3919784362
S66x8/01-150,-152.3909526051
S66x8/01-200,-152.389736992
S66x8/02-A,-76.1942994945
S66x8/02-B,-115.3190697671
S66x8/02-090,-191.5152326249
S66x8/02-095,-191.5163726287
S66x8/02-100,-191.5169605648
S66x8/02-105,-191.5171993527
S66x8/02-110,-191.5172218463
S66x8/02-125,-191.5167325661
S66x8/02-150,-191.5157042449
S66x8/02-200,-191.5145073135
S66x8/03-A,-76.1943315932
S66x8/03-B,-95.4907235177
S66x8/03-090,-171.6895164567
S66x8/03-095,-171.6905447147
S66x8/03-100,-171.6909783788
S66x8/03-105,-171.691035464
S66x8/03-110,-171.6908626689
S66x8/03-125,-171.6897947943
S66x8/03-150,-171.6880583491
S66x8/03-200,-171.6862919831
S66x8/04-A,-76.1943261393
S66x8/04-B,-247.6007029845
S66x8/04-090,-323.7987477464
S66x8/04-095,-323.8000337208
S66x8/04-100,-323.8006836712
S66x8/04-105,-323.8009241652
S66x8/04-110,-323.8009065787
S66x8/04-125,-323.8001690724
S66x8/04-150,-323.7986676144
S66x8/04-200,-323.7966893079
S66x8/05-A,-115.3188570339
S66x8/05-B,-115.3190964904
S66x8/05-090,-230.6395810602
S66x8/05-095,-230.6408376915
S66x8/05-100,-230.6415118068
S66x8/05-105,-230.6418137512
S66x8/05-110,-230.6418817344
S66x8/05-125,-230.6414612861
S66x8/05-150,-230.6404540243
S66x8/05-200,-230.6392548869
S66x8/06-A,-115.3185553859
S66x8/06-B,-95.4907357308
S66x8/06-090,-210.8122913034
S66x8/06-095,-210.8138057633
S66x8/06-100,-210.8145984055
S66x8/06-105,-210.8149205479
S66x8/06-110,-210.8149418442
S66x8/06-125,-210.8141941969
S66x8/06-150,-210.8126134947
S66x8/06-200,-210.8108906493
S66x8/07-A,-115.3186989135
S66x8/07-B,-247.6007377596
S66x8/07-090,-362.9225498166
S66x8/07-095,-362.9240049957
S66x8/07-100,-362.9247781468
S66x8/07-105,-362.9251072846
S66x8/07-110,-362.9251520987
S66x8/07-125,-362.9245071214
S66x8/07-150,-362.9228451941
S66x8/07-200,-362.9208543538
S66x8/08-A,-115.3188932611
S66x8/08-B,-76.1942522068
S66x8/08-090,-191.5152724842
S66x8/08-095,-191.5163448725
S66x8/08-100,-191.5168991833
S66x8/08-105,-191.5171259774
S66x8/08-110,-191.5171494806
S66x8/08-125,-191.5166915232
S66x8/08-150,-191.5157019219
S66x8/08-200,-191.5145099577
S66x8/09-A,-95.4906249792
S66x8/09-B,-115.3190568002
S66x8/09-090,-210.8065809612
S66x8/09-095,-210.8079179866
S66x8/09-100,-210.8087946843
S66x8/09-105,-210.8093701902
S66x8/09-110,-210.8097462306
S66x8/09-125,-210.8102515129
S66x8/09-150,-210.8103712895
S66x8/09-200,-210.8101744722
S66x8/10-A,-95.4906586906
S66x8/10-B,-95.490695719
S66x8/10-090,-190.9772136049
S66x8/10-095,-190.978977501
S66x8/10-100,-190.9801238596
S66x8/10-105,-190.9808640437
S66x8/10-110,-190.9813363117
S66x8/10-125,-190.9819356291
S66x8/10-150,-190.9820369706
S66x8/10-200,-190.9817695453
S66x8/11-A,-95.4904778863
S66x8/11-B,-247.6009325284
S66x8/11-090,-343.0868999514
S66x8/11-095,-343.0888460759
S66x8/11-100,-343.0901421704
S66x8/11-105,-343.0909998442
S66x8/11-110,-343.0915601531
S66x8/11-125,-343.0924263367
S66x8/11-150,-343.0924111152
S66x8/11-200,-343.0920779993
S66x8/12-A,-95.4907167757
S66x8/12-B,-76.1936503636
S66x8/12-090,-171.6885131058
S66x8/12-095,-171.6898049007
S66x8/12-100,-171.69042556
S66x8/12-105,-171.6906162213
S66x8/12-110,-171.6905394031
S66x8/12-125,-171.6896322688
S66x8/12-150,-171.6879951672
S66x8/12-200,-171.6862812691
S66x8/13-A,-247.6009391637
S66x8/13-B,-115.3191046144
S66x8/13-090,-362.919076019
S66x8/13-095,-362.9207243315
S66x8/13-100,-362.921757657
S66x8/13-105,-362.9223829276
S66x8/13-110,-362.9227369008
S66x8/13-125,-362.9229710441
S66x8/13-150,-362.922548472
S66x8/13-200,-362.9216591161
S66x8/14-A,-247.6007063453
S66x8/14-B,-95.4906974027
S66x8/14-090,-343.091798971
S66x8/14-095,-343.0935528483
S66x8/14-100,-343.0946071504
S66x8/14-105,-343.0951946052
S66x8/14-110,-343.0954727114
S66x8/14-125,-343.0953896095
S66x8/14-150,-343.0944970632
S66x8/14-200,-343.0932026276
S66x8/15-A,-247.6006257105
S66x8/15-B,-247.6007014192
S66x8/15-090,-495.2017153898
S66x8/15-095,-495.2035442793
S66x8/15-100,-495.2046786783
S66x8/15-105,-495.2053446645
S66x8/15-110,-495.2056942471
S66x8/15-125,-495.2057731195
S66x8/15-150,-495.2049976409
S66x8/15-200,-495.2034725344
S66x8/16-A,-247.6007939661
S66x8/16-B,-76.1942604842
S66x8/16-090,-323.7958128338
S66x8/16-095,-323.7970988264
S66x8/16-100,-323.7978616344
S66x8/16-105,-323.7982837564
S66x8/16-110,-323.7984844443
S66x8/16-125,-323.798438102
S66x8/16-150,-323.7977971575
S66x8/16-200,-323.7967327734
S66x8/17-A,-413.336484765
S66x8/17-B,-413.3366584011
S66x8/17-090,-826.6858879268
S66x8/17-095,-826.6884055933
S66x8/17-100,-826.6895475988
S66x8/17-105,-826.689790862
S66x8/17-110,-826.6894610532
S66x8/17-125,-826.6869396337
S66x8/17-150,-826.6823701465
S66x8/17-200,-826.6773940067
S66x8/18-A,-76.1943074753
S66x8/18-B,-247.2969612366
S66x8/18-090,-323.4951403356
S66x8/18-095,-323.4962506323
S66x8/18-100,-323.4967549196
S66x8/18-105,-323.4968741904
S66x8/18-110,-323.4967568095
S66x8/18-125,-323.4958233249
S66x8/18-150,-323.4942236304
S66x8/18-200,-323.4925506185
S66x8/19-A,-115.3185718843
S66x8/19-B,-247.2969571141
S66x8/19-090,-362.6186889754
S66x8/19-095,-362.6200673369
S66x8/19-100,-362.6207620308
S66x8/19-105,-362.621013503
S66x8/19-110,-362.6212299125
S66x8/19-125,-362.620157679
S66x8/19-150,-362.6188010209
S66x8/19-200,-362.6170696428
S66x8/20-A,-228.295644725
S66x8/20-B,-228.2956443501
S66x8/20-090,-456.6095798103
S66x8/20-095,-456.6120515098
S66x8/20-100,-456.6129300786
S66x8/20-105,-456.6127914555
S66x8/20-110,-456.6120296899
S66x8/20-125,-456.6082256783
S66x8/20-150,-456.6021336446
S66x8/20-200,-456.5959446598
S66x8/21-A,-208.4632378726
S66x8/21-B,-208.4632412669
S66x8/21-090,-416.9385241153
S66x8/21-095,-416.9409953303
S66x8/21-100,-416.9421424337
S66x8/21-105,-416.9424277478
S66x8/21-110,-416.9421656354
S66x8/21-125,-416.9399282492
S66x8/21-150,-416.9358034799
S66x8/21-200,-416.9307053441
S66x8/22-A,-228.295627306
S66x8/22-B,-413.3363626386
S66x8/22-090,-641.649611499
S66x8/22-095,-641.6521250984
S66x8/22-100,-641.6531478868
S66x8/22-105,-641.6531970344
S66x8/22-110,-641.652629599
S66x8/22-125,-641.6493339916
S66x8/22-150,-641.6436769829
S66x8/22-200,-641.6375115068
S66x8/23-A,-208.4630881426
S66x8/23-B,-413.3362403323
S66x8/23-090,-621.8157559561
S66x8/23-095,-621.81826763
S66x8/23-100,-621.8194210111
S66x8/23-105,-621.8196699015
S66x8/23-110,-621.8193307274
S66x8/23-125,-621.8166872916
S66x8/23-150,-621.8116873656
S66x8/23-200,-621.8057651795
S66x8/24-A,-231.2975314223
S66x8/24-B,-231.2975628266
S66x8/24-090,-462.5734017787
S66x8/24-095,-462.5801043532
S66x8/24-100,-462.5843837127
S66x8/24-105,-462.5872031581
S66x8/24-110,-462.5891256552
S66x8/24-125,-462.5922837412
S66x8/24-150,-462.5942073625
S66x8/24-200,-462.5949714219
S66x8/25-A,-247.2969612554
S66x8/25-B,-247.2969926375
S66x8/25-090,-494.5734990584
S66x8/25-095,-494.5800398325
S66x8/25-100,-494.5842810568
S66x8/25-105,-494.5870625634
S66x8/25-110,-494.5889331966
S66x8/25-125,-494.5918486509
S66x8/25-150,-494.5935417602
S66x8/25-200,-494.5940496385
S66x8/26-A,-413.3370715007
S66x8/26-B,-413.3370715009
S66x8/26-090,-826.6565756143
S66x8/26-095,-826.6635824959
S66x8/26-100,-826.6679980854
S66x8/26-105,-826.6708035516
S66x8/26-110,-826.6725851628
S66x8/26-125,-826.6749611304
S66x8/26-150,-826.6756934522
S66x8/26-200,-826.675215012
S66x8/27-A,-231.2975468666
S66x8/27-B,-247.296990681
S66x8/27-090,-478.5730676004
S66x8/27-095,-478.580060938
S66x8/27-100,-478.5844438687
S66x8/27-105,-478.5872760657
S66x8/27-110,-478.5891729382
S66x8/27-125,-478.5921300745
S66x8/27-150,-478.5939059233
S66x8/27-200,-478.5945141525
S66x8/28-A,-231.297568542
S66x8/28-B,-413.3376947422
S66x8/28-090,-644.6135745107
S66x8/28-095,-644.6204165004
S66x8/28-100,-644.6248593585
S66x8/28-105,-644.6277849571
S66x8/28-110,-644.6297548107
S66x8/28-125,-644.6328047235
S66x8/28-150,-644.634498648
S66x8/28-200,-644.6351058564
S66x8/29-A,-247.2969698485
S66x8/29-B,-413.3376285516
S66x8/29-090,-660.6121168966
S66x8/29-095,-660.6208687609
S66x8/29-100,-660.6260822731
S66x8/29-105,-660.6292591693
S66x8/29-110,-660.6312478811
S66x8/29-125,-660.6339686082
S66x8/29-150,-660.6350620061
S66x8/29-200,-660.6349927522
S66x8/30-A,-231.2975488837
S66x8/30-B,-78.2638790966
S66x8/30-090,-309.5476445942
S66x8/30-095,-309.5513987932
S66x8/30-100,-309.5539113698
S66x8/30-105,-309.5556493151
S66x8/30-110,-309.5568896792
S66x8/30-125,-309.5590401511
S66x8/30-150,-309.560494315
S66x8/30-200,-309.5612445832
S66x8/31-A,-413.3377052531
S66x8/31-B,-78.2639203493
S66x8/31-090,-491.5898839516
S66x8/31-095,-491.593358418
S66x8/31-100,-491.5957004338
S66x8/31-105,-491.5973147672
S66x8/31-110,-491.5984490591
S66x8/31-125,-491.6003078794
S66x8/31-150,-491.6013738375
S66x8/31-200,-491.6016765095
S66x8/32-A,-413.3377040952
S66x8/32-B,-77.0190214258
S66x8/32-090,-490.3464153666
S66x8/32-095,-490.3498496613
S66x8/32-100,-490.3520739377
S66x8/32-105,-490.3535366142
S66x8/32-110,-490.3545118126
S66x8/32-125,-490.3559584063
S66x8/32-150,-490.3566255762
S66x8/32-200,-490.3566760013
S66x8/33-A,-247.2969797166
S66x8/33-B,-78.2638467174
S66x8/33-090,-325.5481557561
S66x8/33-095,-325.5515107272
S66x8/33-100,-325.5538137896
S66x8/33-105,-325.5554350092
S66x8/33-110,-325.5566043056
S66x8/33-125,-325.5586452072
S66x8/33-150,-325.5600226808
S66x8/33-200,-325.5607145752
S66x8/34-A,-196.9318415398
S66x8/34-B,-196.9317796404
S66x8/34-090,-393.8439485501
S66x8/34-095,-393.848912492
S66x8/34-100,-393.8524026087
S66x8/34-105,-393.8549227031
S66x8/34-110,-393.8567830762
S66x8/34-125,-393.8601684732
S66x8/34-150,-393.8625730895
S66x8/34-200,-393.8637175526
S66x8/35-A,-196.9318271256
S66x8/35-B,-196.9337920956
S66x8/35-090,-393.8509900141
S66x8/35-095,-393.8549666474
S66x8/35-100,-393.8576145025
S66x8/35-105,-393.8594631787
S66x8/35-110,-393.8607887245
S66x8/35-125,-393.86315288
S66x8/35-150,-393.864763527
S66x8/35-200,-393.8655196103
S66x8/36-A,-196.9337778478
S66x8/36-B,-196.9338250615
S66x8/36-090,-393.8573390131
S66x8/36-095,-393.8597505758
S66x8/36-100,-393.8614632513
S66x8/36-105,-393.8627216407
S66x8/36-110,-393.8636691791
S66x8/36-125,-393.8654122574
S66x8/36-150,-393.866641511
S66x8/36-200,-393.8672161645
S66x8/37-A,-195.7325307109
S66x8/37-B,-196.9335138872
S66x8/37-090,-392.6516513664
S66x8/37-095,-392.655548679
S66x8/37-100,-392.6581616496
S66x8/37-105,-392.6599862426
S66x8/37-110,-392.6613163396
S66x8/37-125,-392.6636870909
S66x8/37-150,-392.6653209195
S66x8/37-200,-392.6661313874
S66x8/38-A,-195.7324701091
S66x8/38-B,-195.7324785211
S66x8/38-090,-391.4495136022
S66x8/38-095,-391.4531791917
S66x8/38-100,-391.4560433696
S66x8/38-105,-391.4581035323
S66x8/38-110,-391.4595854207
S66x8/38-125,-391.4621965641
S66x8/38-150,-391.463977596
S66x8/38-200,-391.4648162153
S66x8/39-A,-231.2975581745
S66x8/39-B,-195.7324544764
S66x8/39-090,-427.0129720685
S66x8/39-095,-427.0178157642
S66x8/39-100,-427.0211494012
S66x8/39-105,-427.0234692231
S66x8/39-110,-427.0250614184
S66x8/39-125,-427.0276760975
S66x8/39-150,-427.0292947648
S66x8/39-200,-427.0299802142
S66x8/40-A,-231.2975648706
S66x8/40-B,-196.9338258818
S66x8/40-090,-428.2176595263
S66x8/40-095,-428.2216067967
S66x8/40-100,-428.2242295343
S66x8/40-105,-428.2260238402
S66x8/40-110,-428.227283181
S66x8/40-125,-428.2293879206
S66x8/40-150,-428.2306850089
S66x8/40-200,-428.2312169635
S66x8/41-A,-413.3377435703
S66x8/41-B,-196.9318902291
S66x8/41-090,-610.2499506218
S66x8/41-095,-610.2551622464
S66x8/41-100,-610.2587698772
S66x8/41-105,-610.261341841
S66x8/41-110,-610.2635258866
S66x8/41-125,-610.2669648114
S66x8/41-150,-610.2688954389
S66x8/41-200,-610.2695696405
S66x8/42-A,-413.3377500171
S66x8/42-B,-195.7324732584
S66x8/42-090,-609.051984609
S66x8/42-095,-609.0571201292
S66x8/42-100,-609.0605512935
S66x8/42-105,-609.062925422
S66x8/42-110,-609.0646127327
S66x8/42-125,-609.067505334
S66x8/42-150,-609.0693685859
S66x8/42-200,-609.0701542886
S66x8/43-A,-413.3377379416
S66x8/43-B,-196.9336715186
S66x8/43-090,-610.2569072199
S66x8/43-095,-610.2611731841
S66x8/43-100,-610.2639834723
S66x8/43-105,-610.2658982431
S66x8/43-110,-610.2672475196
S66x8/43-125,-610.2694922617
S66x8/43-150,-610.2708511572
S66x8/43-200,-610.2713521376
S66x8/44-A,-78.2638842098
S66x8/44-B,-196.9318919766
S66x8/44-090,-275.1852369603
S66x8/44-095,-275.1878460169
S66x8/44-100,-275.1896772081
S66x8/44-105,-275.1910067395
S66x8/44-110,-275.1920018256
S66x8/44-125,-275.1938378966
S66x8/44-150,-275.1951335666
S66x8/44-200,-275.1957340522
S66x8/45-A,-77.0190158487
S66x8/45-B,-196.9318279196
S66x8/45-090,-273.9403997751
S66x8/45-095,-273.9432545916
S66x8/45-100,-273.9451936697
S66x8/45-105,-273.9465574928
S66x8/45-110,-273.9475408947
S66x8/45-125,-273.9492271502
S66x8/45-150,-273.9502708604
S66x8/45-200,-273.9506412046
S66x8/46-A,-247.6009060605
S66x8/46-B,-196.9317488664
S66x8/46-090,-444.5166232955
S66x8/46-095,-444.5203273415
S66x8/46-100,-444.5230420115
S66x8/46-105,-444.5250737954
S66x8/46-110,-444.5266200635
S66x8/46-125,-444.5295269793
S66x8/46-150,-444.5318101614
S66x8/46-200,-444.5327418704
S66x8/47-A,-231.2975648296
S66x8/47-B,-231.2975919461
S66x8/47-090,-462.5831498496
S66x8/47-095,-462.5868773406
S66x8/47-100,-462.589281963
S66x8/47-105,-462.5908834669
S66x8/47-110,-462.5919822717
S66x8/47-125,-462.5937457537
S66x8/47-150,-462.5947863832
S66x8/47-200,-462.5951701248
S66x8/48-A,-247.2969908596
S66x8/48-B,-247.2969606467
S66x8/48-090,-494.583339123
S66x8/48-095,-494.5866138463
S66x8/48-100,-494.5887925369
S66x8/48-105,-494.5902754265
S66x8/48-110,-494.5913019645
S66x8/48-125,-494.5929568511
S66x8/48-150,-494.5939141355
S66x8/48-200,-494.5941881979
S66x8/49-A,-231.2975685107
S66x8/49-B,-247.2969527975
S66x8/49-090,-478.5832534862
S66x8/49-095,-478.5869872149
S66x8/49-100,-478.5893774183
S66x8/49-105,-478.5909490661
S66x8/49-110,-478.5920103065
S66x8/49-125,-478.5936552232
S66x8/49-150,-478.5945424271
S66x8/49-200,-478.5947582302
S66x8/50-A,-231.2975620841
S66x8/50-B,-77.0191007574
S66x8/50-090,-308.3093798439
S66x8/50-095,-308.3120993863
S66x8/50-100,-308.3137893358
S66x8/50-105,-308.3148583371
S66x8/50-110,-308.3155510077
S66x8/50-125,-308.3165410766
S66x8/50-150,-308.3169454001
S66x8/50-200,-308.3168677184
S66x8/51-A,-77.0190285765
S66x8/51-B,-77.0191060109
S66x8/51-090,-154.035044519
S66x8/51-095,-154.0361693529
S66x8/51-100,-154.0368902495
S66x8/51-105,-154.037357961
S66x8/51-110,-154.037664389
S66x8/51-125,-154.03810059
S66x8/51-150,-154.0382637672
S66x8/51-200,-154.0381999234
S66x8/52-A,-231.2975590398
S66x8/52-B,-228.2977023458
S66x8/52-090,-459.5897354851
S66x8/52-095,-459.592204961
S66x8/52-100,-459.5937517843
S66x8/52-105,-459.5947217872
S66x8/52-110,-459.5953244222
S66x8/52-125,-459.5960457092
S66x8/52-150,-459.5961290426
S66x8/52-200,-459.5957715737
S66x8/53-A,-231.2975502097
S66x8/53-B,-208.4642756806
S66x8/53-090,-439.7565006567
S66x8/53-095,-439.7585725807
S66x8/53-100,-439.7599416646
S66x8/53-105,-439.7608485254
S66x8/53-110,-439.7614477734
S66x8/53-125,-439.7622738808
S66x8/53-150,-439.7625008843
S66x8/53-200,-439.762220564
S66x8/54-A,-231.2975679521
S66x8/54-B,-76.1941469196
S66x8/54-090,-307.488302976
S66x8/54-095,-307.4900518709
S66x8/54-100,-307.4911224836
S66x8/54-105,-307.4917759283
S66x8/54-110,-307.4921716367
S66x8/54-125,-307.4926163074
S66x8/54-150,-307.4925886787
S66x8/54-200,-307.4921820188
S66x8/55-A,-231.2975726091
S66x8/55-B,-115.3189698924
S66x8/55-090,-346.6094792718
S66x8/55-095,-346.6120651173
S66x8/55-100,-346.6137667761
S66x8/55-105,-346.6148998206
S66x8/55-110,-346.6156562781
S66x8/55-125,-346.6167558739
S66x8/55-150,-346.6171917771
S66x8/55-200,-346.6170340734
S66x8/56-A,-231.29756402
S66x8/56-B,-95.4906097898
S66x8/56-090,-326.7789457269
S66x8/56-095,-326.7817164277
S66x8/56-100,-326.7835992568
S66x8/56-105,-326.7849816086
S66x8/56-110,-326.7859427332
S66x8/56-125,-326.7874217324
S66x8/56-150,-326.7882023304
S66x8/56-200,-326.7883585925
S66x8/57-A,-231.2975792343
S66x8/57-B,-247.6008737729
S66x8/57-090,-478.8862027816
S66x8/57-095,-478.8908946106
S66x8/57-100,-478.8938173162
S66x8/57-105,-478.8956710884
S66x8/57-110,-478.8968618037
S66x8/57-125,-478.8985250038
S66x8/57-150,-478.8991722108
S66x8/57-200,-478.8990391332
S66x8/58-A,-247.2969973167
S66x8/58-B,-247.2969025773
S66x8/58-090,-494.5864946223
S66x8/58-095,-494.5895727702
S66x8/58-100,-494.5920180507
S66x8/58-105,-494.5931894542
S66x8/58-110,-494.5937815052
S66x8/58-125,-494.5943479181
S66x8/58-150,-494.5943851929
S66x8/58-200,-494.5941467814
S66x8/59-A,-77.0191729125
S66x8/59-B,-76.1942462285
S66x8/59-090,-153.2125795479
S66x8/59-095,-153.2136017735
S66x8/59-100,-153.2142239588
S66x8/59-105,-153.2145874391
S66x8/59-110,-153.2147834167
S66x8/59-125,-153.2148771981
S66x8/59-150,-153.2145733554
S66x8/59-200,-153.2139922383
S66x8/60-A,-77.0190407594
S66x8/60-B,-228.2976810721
S66x8/60-090,-305.3151125046
S66x8/60-095,-305.3167859331
S66x8/60-100,-305.3177499617
S66x8/60-105,-305.3182669831
S66x8/60-110,-305.3185057417
S66x8/60-125,-305.3184726336
S66x8/60-150,-305.3179239779
S66x8/60-200,-305.3172316051
S66x8/61-A,-196.9318651541
S66x8/61-B,-228.2977579375
S66x8/61-090,-425.2183113045
S66x8/61-095,-425.2206577433
S66x8/61-100,-425.2224389814
S66x8/61-105,-425.2238156348
S66x8/61-110,-425.2248922915
S66x8/61-125,-425.2269957634
S66x8/61-150,-425.2288124323
S66x8/61-200,-425.229581431
S66x8/62-A,-196.9318815319
S66x8/62-B,-208.4642641977
S66x8/62-090,-405.3832820278
S66x8/62-095,-405.386325683
S66x8/62-100,-405.3885304212
S66x8/62-105,-405.3901639716
S66x8/62-110,-405.391398506
S66x8/62-125,-405.3936801649
S66x8/62-150,-405.3953132786
S66x8/62-200,-405.396111239
S66x8/63-A,-231.2975454647
S66x8/63-B,-228.2976830512
S66x8/63-090,-459.5826626988
S66x8/63-095,-459.5866716688
S66x8/63-100,-459.589284022
S66x8/63-105,-459.5910290045
S66x8/63-110,-459.5922178693
S66x8/63-125,-459.5940953025
S66x8/63-150,-459.5951358336
S66x8/63-200,-459.5953871663
S66x8/64-A,-247.6008864892
S66x8/64-B,-78.2639303448
S66x8/64-090,-325.8564084242
S66x8/64-095,-325.8586406483
S66x8/64-100,-325.8602075677
S66x8/64-105,-325.8613302153
S66x8/64-110,-325.862148473
S66x8/64-125,-325.8635760254
S66x8/64-150,-325.8645473916
S66x8/64-200,-325.8648488754
S66x8/65-A,-247.2969803848
S66x8/65-B,-77.0186076901
S66x8/65-090,-324.3154261363
S66x8/65-095,-324.3165925676
S66x8/65-100,-324.3172854072
S66x8/65-105,-324.3176697158
S66x8/65-110,-324.3178548048
S66x8/65-125,-324.3178402964
S66x8/65-150,-324.3173739408
S66x8/65-200,-324.3166869726
S66x8/66-A,-95.4906144125
S66x8/66-B,-247.2969785399
S66x8/66-090,-342.7802615142
S66x8/66-095,-342.7824056116
S66x8/66-100,-342.7839033685
S66x8/66-105,-342.7849617319
S66x8/66-110,-342.7857157081
