system,DODPBEP86/def2-QZVP/ORCA
S66x8/07-150,-363.8367670217
S66x8/07-200,-363.8329931981
S66x8/08-A,-115.6003483013
S66x8/08-B,-76.3637499354
S66x8/08-090,-191.9712847138
S66x8/08-095,-191.971881538
S66x8/08-100,-191.9719719274
S66x8/08-105,-191.971752182
S66x8/08-110,-191.9713532302
S66x8/08-125,-191.9698030143
S66x8/08-150,-191.9676072184
S66x8/08-200,-191.9655565225
S66x8/09-A,-95.7390939728
S66x8/09-B,-115.600450964
S66x8/09-090,-211.3430511181
S66x8/09-095,-211.3435404773
S66x8/09-100,-211.3436446839
S66x8/09-105,-211.3435222277
S66x8/09-110,-211.3432766558
S66x8/09-125,-211.3423386429
S66x8/09-150,-211.3411326397
S66x8/09-200,-211.3401637677
S66x8/10-A,-95.7391266411
S66x8/10-B,-95.739148286
S66x8/10-090,-191.4826728478
S66x8/10-095,-191.4834937928
S66x8/10-100,-191.4837522646
S66x8/10-105,-191.4836659938
S66x8/10-110,-191.48338216
S66x8/10-125,-191.4821383021
S66x8/10-150,-191.4800933379
S66x8/10-200,-191.478831381
S66x8/11-A,-95.7389760583
S66x8/11-B,-248.2313010276
S66x8/11-090,-343.9759409679
S66x8/11-095,-343.9768516993
S66x8/11-100,-343.9771658458
S66x8/11-105,-343.977102916
S66x8/11-110,-343.9768148101
S66x8/11-125,-343.9746673656
S66x8/11-150,-343.9722676507
S66x8/11-200,-343.9710294372
S66x8/12-A,-95.7391384602
S66x8/12-B,-76.3634143165
S66x8/12-090,-172.1129826219
S66x8/12-095,-172.113760653
S66x8/12-100,-172.1138765576
S66x8/12-105,-172.1135746085
S66x8/12-110,-172.1130237398
S66x8/12-125,-172.1108380183
S66x8/12-150,-172.1076486053
S66x8/12-200,-172.1046075639
S66x8/13-A,-248.2312510585
S66x8/13-B,-115.600464623
S66x8/13-090,-363.8392064645
S66x8/13-095,-363.8400508031
S66x8/13-100,-363.8403087025
S66x8/13-105,-363.8401948432
S66x8/13-110,-363.8398566936
S66x8/13-125,-363.8383292312
S66x8/13-150,-363.8359843488
S66x8/13-200,-363.8336537176
S66x8/14-A,-248.2310491791
S66x8/14-B,-95.7391467501
S66x8/14-090,-343.9793112616
S66x8/14-095,-343.9803223944
S66x8/14-100,-343.9806524023
S66x8/14-105,-343.9805421312
S66x8/14-110,-343.9801580859
S66x8/14-125,-343.978335033
S66x8/14-150,-343.9754068278
S66x8/14-200,-343.9724225827
S66x8/15-A,-248.23101478
S66x8/15-B,-248.2311211946
S66x8/15-090,-496.4724454817
S66x8/15-095,-496.4734684423
S66x8/15-100,-496.4738091906
S66x8/15-105,-496.4737049778
S66x8/15-110,-496.4733202543
S66x8/15-125,-496.471452346
S66x8/15-150,-496.4683693528
S66x8/15-200,-496.4647047955
S66x8/16-A,-248.2311711629
S66x8/16-B,-76.3637516583
S66x8/16-090,-324.6018519749
S66x8/16-095,-324.6024988788
S66x8/16-100,-324.6026481939
S66x8/16-105,-324.6024893473
S66x8/16-110,-324.6021504929
S66x8/16-125,-324.6007523857
S66x8/16-150,-324.5987073526
S66x8/16-200,-324.5967093937
S66x8/17-A,-414.3550200587
S66x8/17-B,-414.3551559048
S66x8/17-090,-828.7326583577
S66x8/17-095,-828.7346988075
S66x8/17-100,-828.7352897554
S66x8/17-105,-828.7349318128
S66x8/17-110,-828.7339744939
S66x8/17-125,-828.7295934924
S66x8/17-150,-828.7224838466
S66x8/17-200,-828.715081683
S66x8/18-A,-76.3637552978
S66x8/18-B,-247.944863861
S66x8/18-090,-324.318359236
S66x8/18-095,-324.3190296142
S66x8/18-100,-324.3190945958
S66x8/18-105,-324.3187802183
S66x8/18-110,-324.3182419974
S66x8/18-125,-324.3161612404
S66x8/18-150,-324.3131647536
S66x8/18-200,-324.3103216064
S66x8/19-A,-115.6001101438
S66x8/19-B,-247.9448567873
S66x8/19-090,-363.5546839928
S66x8/19-095,-363.5555826671
S66x8/19-100,-363.5558003676
S66x8/19-105,-363.5555821981
S66x8/19-110,-363.5552034927
S66x8/19-125,-363.5530244002
S66x8/19-150,-363.5499689042
S66x8/19-200,-363.5468519739
S66x8/20-A,-228.8474654269
S66x8/20-B,-228.8474655926
S66x8/20-090,-457.7216368529
S66x8/20-095,-457.7237546556
S66x8/20-100,-457.7242468345
S66x8/20-105,-457.7236864103
S66x8/20-110,-457.7224735493
S66x8/20-125,-457.7172753182
S66x8/20-150,-457.7090157245
S66x8/20-200,-457.7004052299
S66x8/21-A,-208.9811039742
S66x8/21-B,-208.9811071058
S66x8/21-090,-417.9842758966
S66x8/21-095,-417.9861230958
S66x8/21-100,-417.9866031176
S66x8/21-105,-417.9861963097
S66x8/21-110,-417.9852376674
S66x8/21-125,-417.9810190754
S66x8/21-150,-417.9743559238
S66x8/21-200,-417.9668337222
S66x8/22-A,-228.8473921285
S66x8/22-B,-414.3548879661
S66x8/22-090,-643.2289707245
S66x8/22-095,-643.2310738243
S66x8/22-100,-643.2316343976
S66x8/22-105,-643.2311801468
S66x8/22-110,-643.230083835
S66x8/22-125,-643.225164817
S66x8/22-150,-643.2171562381
S66x8/22-200,-643.2085279656
S66x8/23-A,-208.9810054931
S66x8/23-B,-414.3547518638
S66x8/23-090,-623.3618194754
S66x8/23-095,-623.3638257452
S66x8/23-100,-623.3644222871
S66x8/23-105,-623.3640785537
S66x8/23-110,-623.3631295244
S66x8/23-125,-623.3586767508
S66x8/23-150,-623.3511930622
S66x8/23-200,-623.3428243338
S66x8/24-A,-231.9144810726
S66x8/24-B,-231.9144778807
S66x8/24-090,-463.8239952756
S66x8/24-095,-463.8279450462
S66x8/24-100,-463.8298253022
S66x8/24-105,-463.8305607303
S66x8/24-110,-463.8307224452
S66x8/24-125,-463.8300910722
S66x8/24-150,-463.8291996243
S66x8/24-200,-463.8289343078
S66x8/25-A,-247.9448682097
S66x8/25-B,-247.9448867508
S66x8/25-090,-495.8864775742
S66x8/25-095,-495.8903555178
S66x8/25-100,-495.8922178204
S66x8/25-105,-495.8929263235
S66x8/25-110,-495.8930162815
S66x8/25-125,-495.8921082431
S66x8/25-150,-495.8907146872
S66x8/25-200,-495.8900013049
S66x8/26-A,-414.3555676919
S66x8/26-B,-414.3555676917
S66x8/26-090,-828.7156973527
S66x8/26-095,-828.7195667435
S66x8/26-100,-828.7211386789
S66x8/26-105,-828.7214040021
S66x8/26-110,-828.7209730198
S66x8/26-125,-828.7183430279
S66x8/26-150,-828.7148952854
S66x8/26-200,-828.7124208499
S66x8/27-A,-231.9144833678
S66x8/27-B,-247.94489152
S66x8/27-090,-479.8550863835
S66x8/27-095,-479.8592424637
S66x8/27-100,-479.8611709152
S66x8/27-105,-479.8618723822
S66x8/27-110,-479.8619647942
S66x8/27-125,-479.8611440536
S66x8/27-150,-479.8599646507
S66x8/27-200,-479.8594673614
S66x8/28-A,-231.9144405864
S66x8/28-B,-414.3560861577
S66x8/28-090,-646.2691840487
S66x8/28-095,-646.2730272583
S66x8/28-100,-646.2747884487
S66x8/28-105,-646.2753392053
S66x8/28-110,-646.2752380917
S66x8/28-125,-646.2737396795
S66x8/28-150,-646.271742322
S66x8/28-200,-646.2706470843
S66x8/29-A,-247.9448599447
S66x8/29-B,-414.3560522834
S66x8/29-090,-662.2995759673
S66x8/29-095,-662.3048130631
S66x8/29-100,-662.3069296327
S66x8/29-105,-662.3074419177
S66x8/29-110,-662.307172408
S66x8/29-125,-662.3051765959
S66x8/29-150,-662.302858325
S66x8/29-200,-662.3014629914
S66x8/30-A,-231.9144800458
S66x8/30-B,-78.474588813
S66x8/30-090,-310.3864293151
S66x8/30-095,-310.3883673124
S66x8/30-100,-310.3892818174
S66x8/30-105,-310.3896379729
S66x8/30-110,-310.3897034561
S66x8/30-125,-310.3893836728
S66x8/30-150,-310.3890003675
S66x8/30-200,-310.3889734202
S66x8/31-A,-414.3561083798
S66x8/31-B,-78.4745953317
S66x8/31-090,-492.8311988157
S66x8/31-095,-492.8328382264
S66x8/31-100,-492.8335484965
S66x8/31-105,-492.8337229228
S66x8/31-110,-492.8336129585
S66x8/31-125,-492.832758782
S66x8/31-150,-492.8316293564
S66x8/31-200,-492.8309085847
S66x8/32-A,-414.3561184294
S66x8/32-B,-77.2231584528
S66x8/32-090,-491.5804270128
S66x8/32-095,-491.5821559655
S66x8/32-100,-491.582854131
S66x8/32-105,-491.5829714142
S66x8/32-110,-491.5827784681
S66x8/32-125,-491.5816745935
S66x8/32-150,-491.5802753732
S66x8/32-200,-491.5793794775
S66x8/33-A,-247.9448940964
S66x8/33-B,-78.4745656132
S66x8/33-090,-326.4178825026
S66x8/33-095,-326.4195654327
S66x8/33-100,-326.4203729778
S66x8/33-105,-326.4206775711
S66x8/33-110,-326.4207096199
S66x8/33-125,-326.4202733935
S66x8/33-150,-326.4196795267
S66x8/33-200,-326.4194572146
S66x8/34-A,-197.4820032148
S66x8/34-B,-197.4819443983
S66x8/34-090,-394.9633388871
S66x8/34-095,-394.9654155119
S66x8/34-100,-394.9663553021
S66x8/34-105,-394.9666679486
S66x8/34-110,-394.9666247081
S66x8/34-125,-394.9659384041
S66x8/34-150,-394.9649123087
S66x8/34-200,-394.964354167
S66x8/35-A,-197.481982493
S66x8/35-B,-197.4862251351
S66x8/35-090,-394.9674127315
S66x8/35-095,-394.9691018955
S66x8/35-100,-394.9698121503
S66x8/35-105,-394.970017357
S66x8/35-110,-394.9699648715
S66x8/35-125,-394.9694398789
S66x8/35-150,-394.9687608751
S66x8/35-200,-394.9683972394
S66x8/36-A,-197.4862373243
S66x8/36-B,-197.4862663916
S66x8/36-090,-394.9721805785
S66x8/36-095,-394.9730075011
S66x8/36-100,-394.9733880389
S66x8/36-105,-394.9735026429
S66x8/36-110,-394.9734782595
S66x8/36-125,-394.9731546484
S66x8/36-150,-394.9727181948
S66x8/36-200,-394.9724573
S66x8/37-A,-196.2733749057
S66x8/37-B,-197.4861350885
S66x8/37-090,-393.758431434
S66x8/37-095,-393.7601068478
S66x8/37-100,-393.7608508768
S66x8/37-105,-393.7611165059
S66x8/37-110,-393.7611389992
S66x8/37-125,-393.7607233871
S66x8/37-150,-393.7600877313
S66x8/37-200,-393.7597078823
S66x8/38-A,-196.2733410401
S66x8/38-B,-196.2733470501
S66x8/38-090,-392.5460134749
S66x8/38-095,-392.5476083494
S66x8/38-100,-392.5484236948
S66x8/38-105,-392.5486746737
S66x8/38-110,-392.5486369011
S66x8/38-125,-392.5480131348
S66x8/38-150,-392.5472234259
S66x8/38-200,-392.5468013053
S66x8/39-A,-231.9144783321
S66x8/39-B,-196.273322959
S66x8/39-090,-428.1864235076
S66x8/39-095,-428.1889575677
S66x8/39-100,-428.1901574002
S66x8/39-105,-428.1905717145
S66x8/39-110,-428.1905493031
S66x8/39-125,-428.1897086414
S66x8/39-150,-428.1885814852
S66x8/39-200,-428.1879476239
S66x8/40-A,-231.9144758398
S66x8/40-B,-197.4862681173
S66x8/40-090,-429.3999216524
S66x8/40-095,-429.4018518799
S66x8/40-100,-429.402718636
S66x8/40-105,-429.4029971323
S66x8/40-110,-429.4029594364
S66x8/40-125,-429.4022779661
S66x8/40-150,-429.4013576999
S66x8/40-200,-429.4008267035
S66x8/41-A,-414.3561147941
S66x8/41-B,-197.4820567293
S66x8/41-090,-611.8381403694
S66x8/41-095,-611.840468858
S66x8/41-100,-611.8415114104
S66x8/41-105,-611.8418132962
S66x8/41-110,-611.841640137
S66x8/41-125,-611.8402965325
S66x8/41-150,-611.8389230194
S66x8/41-200,-611.8382978447
S66x8/42-A,-414.3561159249
S66x8/42-B,-196.2733329521
S66x8/42-090,-610.6287705598
S66x8/42-095,-610.6311682123
S66x8/42-100,-610.6321907492
S66x8/42-105,-610.6324661584
S66x8/42-110,-610.6323600473
S66x8/42-125,-610.6314067174
S66x8/42-150,-610.6302427968
S66x8/42-200,-610.629616402
S66x8/43-A,-414.3561194031
S66x8/43-B,-197.4861305308
S66x8/43-090,-611.8423961937
S66x8/43-095,-611.8442915112
S66x8/43-100,-611.8450653347
S66x8/43-105,-611.8452225807
S66x8/43-110,-611.8450656169
S66x8/43-125,-611.8441326458
S66x8/43-150,-611.8430393399
S66x8/43-200,-611.842420855
S66x8/44-A,-78.4745902737
S66x8/44-B,-197.4820520339
S66x8/44-090,-275.956734547
S66x8/44-095,-275.957662796
S66x8/44-100,-275.9580348157
S66x8/44-105,-275.9581007675
S66x8/44-110,-275.9580228234
S66x8/44-125,-275.9575649491
S66x8/44-150,-275.9570255396
S66x8/44-200,-275.9567530524
S66x8/45-A,-77.2231630908
S66x8/45-B,-197.4820289378
S66x8/45-090,-274.7046695732
S66x8/45-095,-274.705860892
S66x8/45-100,-274.7063648216
S66x8/45-105,-274.7065042978
S66x8/45-110,-274.7064572465
S66x8/45-125,-274.7060052526
S66x8/45-150,-274.7054586789
S66x8/45-200,-274.7051517821
S66x8/46-A,-248.2312524996
S66x8/46-B,-197.481941072
S66x8/46-090,-445.7143942867
S66x8/46-095,-445.715805192
S66x8/46-100,-445.7164491953
S66x8/46-105,-445.7166225383
S66x8/46-110,-445.7165272302
S66x8/46-125,-445.7156783519
S66x8/46-150,-445.7143180127
S66x8/46-200,-445.7135307351
S66x8/47-A,-231.9144706999
S66x8/47-B,-231.9144338554
S66x8/47-090,-463.8283572565
S66x8/47-095,-463.8303957085
S66x8/47-100,-463.8312912004
S66x8/47-105,-463.8315702525
S66x8/47-110,-463.8315295801
S66x8/47-125,-463.8307946693
S66x8/47-150,-463.8297897301
S66x8/47-200,-463.8291679883
S66x8/48-A,-247.9448772581
S66x8/48-B,-247.9448451136
S66x8/48-090,-495.8906836169
S66x8/48-095,-495.8924005943
S66x8/48-100,-495.8931551391
S66x8/48-105,-495.8933644906
S66x8/48-110,-495.8932674406
S66x8/48-125,-495.8923717027
S66x8/48-150,-495.8911018373
S66x8/48-200,-495.8901919289
S66x8/49-A,-231.9144715326
S66x8/49-B,-247.9448598618
S66x8/49-090,-479.8594817928
S66x8/49-095,-479.8615434572
S66x8/49-100,-479.8624328576
S66x8/49-105,-479.8626802032
S66x8/49-110,-479.8626014119
S66x8/49-125,-479.8617299377
S66x8/49-150,-479.8605468621
S66x8/49-200,-479.8597438878
S66x8/50-A,-231.9144657808
S66x8/50-B,-77.2231942134
S66x8/50-090,-309.1388207211
S66x8/50-095,-309.1403344885
S66x8/50-100,-309.140916663
S66x8/50-105,-309.1409873234
S66x8/50-110,-309.1408127272
S66x8/50-125,-309.1398777439
S66x8/50-150,-309.1387314111
S66x8/50-200,-309.1379461385
S66x8/51-A,-77.2231696829
S66x8/51-B,-77.2232010805
S66x8/51-090,-154.4477580108
S66x8/51-095,-154.4482423181
S66x8/51-100,-154.4483817649
S66x8/51-105,-154.4483298268
S66x8/51-110,-154.4481821636
S66x8/51-125,-154.4476126571
S66x8/51-150,-154.4469601891
S66x8/51-200,-154.4465216419
S66x8/52-A,-231.9144646088
S66x8/52-B,-228.8493997654
S66x8/52-090,-460.7676678576
S66x8/52-095,-460.7690018625
S66x8/52-100,-460.7695014634
S66x8/52-105,-460.7695155276
S66x8/52-110,-460.7692578154
S66x8/52-125,-460.7679386019
S66x8/52-150,-460.7660902886
S66x8/52-200,-460.7645806719
S66x8/53-A,-231.9144643284
S66x8/53-B,-208.9820227058
S66x8/53-090,-440.9002717074
S66x8/53-095,-440.9013133043
S66x8/53-100,-440.9017075417
S66x8/53-105,-440.9017088373
S66x8/53-110,-440.9014821012
S66x8/53-125,-440.9003209647
S66x8/53-150,-440.8986092212
S66x8/53-200,-440.8970784213
S66x8/54-A,-231.9144619702
S66x8/54-B,-76.3636992571
S66x8/54-090,-308.2815113404
S66x8/54-095,-308.2823809264
S66x8/54-100,-308.2826448573
S66x8/54-105,-308.2825644047
S66x8/54-110,-308.282302807
S66x8/54-125,-308.2812351537
S66x8/54-150,-308.2798690256
S66x8/54-200,-308.2787622526
S66x8/55-A,-231.9144545364
S66x8/55-B,-115.6004033337
S66x8/55-090,-347.5178104666
S66x8/55-095,-347.5191496203
S66x8/55-100,-347.5196953953
S66x8/55-105,-347.5197804301
S66x8/55-110,-347.5195975784
S66x8/55-125,-347.5184862765
S66x8/55-150,-347.516883853
S66x8/55-200,-347.5155652165
S66x8/56-A,-231.9144695496
S66x8/56-B,-95.7391000661
S66x8/56-090,-327.6547735608
S66x8/56-095,-327.6561326999
S66x8/56-100,-327.6567273174
S66x8/56-105,-327.6568779677
S66x8/56-110,-327.6567481749
S66x8/56-125,-327.6558539249
S66x8/56-150,-327.6546960107
S66x8/56-200,-327.6539078196
S66x8/57-A,-231.9144575208
S66x8/57-B,-248.2312300282
S66x8/57-090,-480.1474784643
S66x8/57-095,-480.1501046341
S66x8/57-100,-480.151202746
S66x8/57-105,-480.1514518071
S66x8/57-110,-480.1512598255
S66x8/57-125,-480.1498717515
S66x8/57-150,-480.1479561469
S66x8/57-200,-480.1465100671
S66x8/58-A,-247.9448437675
S66x8/58-B,-247.9448185195
S66x8/58-090,-495.8922099183
S66x8/58-095,-495.8940660779
S66x8/58-100,-495.8948853317
S66x8/58-105,-495.8947063169
S66x8/58-110,-495.894192394
S66x8/58-125,-495.8925478013
S66x8/58-150,-495.8909873258
S66x8/58-200,-495.8900361852
S66x8/59-A,-77.2232100116
S66x8/59-B,-76.3637465155
S66x8/59-090,-153.5907464081
S66x8/59-095,-153.5911888617
S66x8/59-100,-153.5912659537
S66x8/59-105,-153.5911258739
S66x8/59-110,-153.5908653839
S66x8/59-125,-153.5898804202
S66x8/59-150,-153.5885863979
S66x8/59-200,-153.5874674503
S66x8/60-A,-77.2231630761
S66x8/60-B,-228.8493732734
S66x8/60-090,-306.0781614632
S66x8/60-095,-306.0790807548
S66x8/60-100,-306.0793215787
S66x8/60-105,-306.079156878
S66x8/60-110,-306.0787632132
S66x8/60-125,-306.0771588498
S66x8/60-150,-306.0750008743
S66x8/60-200,-306.0732588315
S66x8/61-A,-197.4820096485
S66x8/61-B,-228.8494671637
S66x8/61-090,-426.3325682054
S66x8/61-095,-426.3333135782
S66x8/61-100,-426.333641723
S66x8/61-105,-426.3337124575
S66x8/61-110,-426.3336343772
S66x8/61-125,-426.3330738058
S66x8/61-150,-426.3321368149
S66x8/61-200,-426.3316314305
S66x8/62-A,-197.4820506233
S66x8/62-B,-208.9820630596
S66x8/62-090,-406.4653638002
S66x8/62-095,-406.4664640451
S66x8/62-100,-406.4669339438
S66x8/62-105,-406.4670224249
S66x8/62-110,-406.4669000126
S66x8/62-125,-406.4661174648
S66x8/62-150,-406.4650528441
S66x8/62-200,-406.4643441482
S66x8/63-A,-231.9144768139
S66x8/63-B,-228.8494151322
S66x8/63-090,-460.7644594308
S66x8/63-095,-460.7664700664
S66x8/63-100,-460.7673126639
S66x8/63-105,-460.767516344
S66x8/63-110,-460.7673686884
S66x8/63-125,-460.7663383409
S66x8/63-150,-460.7649943517
S66x8/63-200,-460.7641687609
S66x8/64-A,-248.2312465506
S66x8/64-B,-78.4746127086
S66x8/64-090,-326.7075429826
S66x8/64-095,-326.7084354911
S66x8/64-100,-326.7087859744
S66x8/64-105,-326.7088147235
S66x8/64-110,-326.7086660434
S66x8/64-125,-326.7078840798
S66x8/64-150,-326.7067676904
S66x8/64-200,-326.7060127408
S66x8/65-A,-247.9448834598
S66x8/65-B,-77.2228876079
S66x8/65-090,-325.1731197275
S66x8/65-095,-325.1737351886
S66x8/65-100,-325.1738883615
S66x8/65-105,-325.173754372
S66x8/65-110,-325.1734521127
S66x8/65-125,-325.1722059414
S66x8/65-150,-325.1704533108
S66x8/65-200,-325.1689085744
S66x8/66-A,-95.7390692542
S66x8/66-B,-247.9448770908
S66x8/66-090,-343.6869526098
S66x8/66-095,-343.6879527724
S66x8/66-100,-343.6883739478
S66x8/66-105,-343.6884320156
S66x8/66-110,-343.6882750113
S66x8/66-125,-343.6873149824
