system,M06L/def2-QZVP/ORCA
S22x5/09-2.0,-339.9126875701
S22x5/10-A,-232.3140619773
S22x5/10-B,-76.4536526481
S22x5/10-0.9,-308.7716659884
S22x5/10-1.0,-308.7721061353
S22x5/10-1.2,-308.7711452604
S22x5/10-1.5,-308.7695835811
S22x5/10-2.0,-308.7683179822
S22x5/11-A,-232.3140704848
S22x5/11-B,-56.5778665757
S22x5/11-0.9,-288.8939853903
S22x5/11-1.0,-288.8945115533
S22x5/11-1.2,-288.8940906373
S22x5/11-1.5,-288.8929652062
S22x5/11-2.0,-288.8921976516
S22x5/12-A,-232.3141182378
S22x5/12-B,-40.5312390799
S22x5/12-0.9,-272.8459146607
S22x5/12-1.0,-272.8466937
S22x5/12-1.2,-272.8464347253
S22x5/12-1.5,-272.8457912615
S22x5/12-2.0,-272.8454093138
S22x5/13-A,-232.3141016192
S22x5/13-B,-232.3140971054
S22x5/13-0.9,-464.6297717106
S22x5/13-1.0,-464.6305536731
S22x5/13-1.2,-464.630268145
S22x5/13-1.5,-464.62914018
S22x5/13-2.0,-464.6284301503
S22x5/14-A,-232.3140691698
S22x5/14-B,-232.314069144
S22x5/14-0.9,-464.6267368273
S22x5/14-1.0,-464.6313203873
S22x5/14-1.2,-464.6304526693
S22x5/14-1.5,-464.628609406
S22x5/14-2.0,-464.628181815
S22x5/15-A,-232.3140362178
S22x5/15-B,-363.9259011618
S22x5/15-0.9,-596.244622257
S22x5/15-1.0,-596.246225471
S22x5/15-1.2,-596.2453806172
S22x5/15-1.5,-596.2430348688
S22x5/15-2.0,-596.2410646218
S22x5/16-A,-232.3140630191
S22x5/16-B,-363.9258689414
S22x5/16-0.9,-596.2398681213
S22x5/16-1.0,-596.2455015455
S22x5/16-1.2,-596.2439160489
S22x5/16-1.5,-596.2406381973
S22x5/16-2.0,-596.2397923789
S22x5/17-A,-264.392978836
S22x5/17-B,-264.3929941385
S22x5/17-0.9,-528.786194099
S22x5/17-1.0,-528.7909921457
S22x5/17-1.2,-528.7895468544
S22x5/17-1.5,-528.7868035491
S22x5/17-2.0,-528.7861158796
S22x5/18-A,-323.6222549295
S22x5/18-B,-303.742815917
S22x5/18-0.9,-627.3884282557
S22x5/18-1.0,-627.3910862119
S22x5/18-1.2,-627.3862543883
S22x5/18-1.5,-627.3765718335
S22x5/18-2.0,-627.3697597002
S22x5/19-A,-307.5645348544
S22x5/19-B,-307.5644641654
S22x5/19-0.9,-615.1370225851
S22x5/19-1.0,-615.1383371864
S22x5/19-1.2,-615.1364059977
S22x5/19-1.5,-615.1332958719
S22x5/19-2.0,-615.1305094586
S22x5/20-A,-414.9613916169
S22x5/20-B,-414.9613917186
S22x5/20-0.9,-829.931149453
S22x5/20-1.0,-829.936354194
S22x5/20-1.2,-829.9315787159
S22x5/20-1.5,-829.925897059
S22x5/20-2.0,-829.9236329618
S22x5/21-A,-414.9603148596
S22x5/21-B,-414.9603148685
S22x5/21-0.9,-829.9484628949
S22x5/21-1.0,-829.9515351803
S22x5/21-1.2,-829.9459969975
S22x5/21-1.5,-829.9350147108
S22x5/21-2.0,-829.9270065655
S22x5/22-A,-232.314056539
S22x5/22-B,-93.4539161413
S22x5/22-0.9,-325.7728917389
S22x5/22-1.0,-325.7736492346
S22x5/22-1.2,-325.772372462
S22x5/22-1.5,-325.7707931501
S22x5/22-2.0,-325.7690024377
S66x8/01-A,-76.4537151907
S66x8/01-B,-76.4537006043
S66x8/01-090,-152.9144473481
S66x8/01-095,-152.9148936921
S66x8/01-100,-152.9148547989
S66x8/01-105,-152.9144789671
S66x8/01-110,-152.9139149955
S66x8/01-125,-152.9121785937
S66x8/01-150,-152.9104249463
S66x8/01-200,-152.9086881974
S66x8/02-A,-76.4537123907
S66x8/02-B,-115.7609390246
S66x8/02-090,-192.2221052567
S66x8/02-095,-192.2227283705
S66x8/02-100,-192.2227731381
S66x8/02-105,-192.22246376
S66x8/02-110,-192.2218810305
S66x8/02-125,-192.2199073784
S66x8/02-150,-192.2177921998
S66x8/02-200,-192.2159204934
S66x8/03-A,-76.4536992053
S66x8/03-B,-95.8886610654
S66x8/03-090,-172.3518717464
S66x8/03-095,-172.3525797021
S66x8/03-100,-172.3526067383
S66x8/03-105,-172.3522249113
S66x8/03-110,-172.3516191011
S66x8/03-125,-172.3492234977
S66x8/03-150,-172.3462137713
S66x8/03-200,-172.343829375
S66x8/04-A,-76.4537020643
S66x8/04-B,-248.6087778988
S66x8/04-090,-325.0740666745
S66x8/04-095,-325.0747988031
S66x8/04-100,-325.0748423805
S66x8/04-105,-325.0744734857
S66x8/04-110,-325.0738230419
S66x8/04-125,-325.0713503739
S66x8/04-150,-325.0680026404
S66x8/04-200,-325.0644755103
S66x8/05-A,-115.7609896972
S66x8/05-B,-115.7609537968
S66x8/05-090,-231.529527051
S66x8/05-095,-231.5302323373
S66x8/05-100,-231.5303152061
S66x8/05-105,-231.530044756
S66x8/05-110,-231.5294910863
S66x8/05-125,-231.5275193939
S66x8/05-150,-231.5252804698
S66x8/05-200,-231.5233458943
S66x8/06-A,-115.7607898708
S66x8/06-B,-95.8886447864
S66x8/06-090,-211.6601322251
S66x8/06-095,-211.6611061671
S66x8/06-100,-211.661301955
S66x8/06-105,-211.6609580265
S66x8/06-110,-211.6603237083
S66x8/06-125,-211.6576869764
S66x8/06-150,-211.6540591058
S66x8/06-200,-211.6512889093
S66x8/07-A,-115.7608708906
S66x8/07-B,-248.6082789876
S66x8/07-090,-364.3810577438
S66x8/07-095,-364.3818970259
S66x8/07-100,-364.3819568354
S66x8/07-105,-364.3815753738
S66x8/07-110,-364.3809177286
S66x8/07-125,-364.3782647179
S66x8/07-150,-364.3742696583
S66x8/07-200,-364.3707245363
S66x8/08-A,-115.7610182287
S66x8/08-B,-76.4537001628
S66x8/08-090,-192.2218283499
S66x8/08-095,-192.2223518604
S66x8/08-100,-192.2223634944
S66x8/08-105,-192.222045788
S66x8/08-110,-192.2214924103
S66x8/08-125,-192.2197337629
S66x8/08-150,-192.2178779621
S66x8/08-200,-192.216114461
S66x8/09-A,-95.88868267
S66x8/09-B,-115.761020586
S66x8/09-090,-211.653733645
S66x8/09-095,-211.6540239646
S66x8/09-100,-211.6539028905
S66x8/09-105,-211.6536498198
S66x8/09-110,-211.6532769301
S66x8/09-125,-211.6522202378
S66x8/09-150,-211.6511355203
S66x8/09-200,-211.6502329412
S66x8/10-A,-95.8886606475
S66x8/10-B,-95.8886476659
S66x8/10-090,-191.7828248231
S66x8/10-095,-191.783392455
S66x8/10-100,-191.7834783642
S66x8/10-105,-191.7832285732
S66x8/10-110,-191.7827439513
S66x8/10-125,-191.7812170582
S66x8/10-150,-191.7791205355
S66x8/10-200,-191.7778208667
S66x8/11-A,-95.8884801789
S66x8/11-B,-248.6084702636
S66x8/11-090,-344.5048421709
S66x8/11-095,-344.5053390054
S66x8/11-100,-344.5052699467
S66x8/11-105,-344.5048578722
S66x8/11-110,-344.5042996306
S66x8/11-125,-344.5017152897
S66x8/11-150,-344.4990256525
S66x8/11-200,-344.4976788575
S66x8/12-A,-95.8885997984
S66x8/12-B,-76.4532646203
S66x8/12-090,-172.3522595096
S66x8/12-095,-172.3531575183
S66x8/12-100,-172.3533069079
S66x8/12-105,-172.3529556303
S66x8/12-110,-172.3523507159
S66x8/12-125,-172.3497881948
S66x8/12-150,-172.3464430044
S66x8/12-200,-172.343818558
S66x8/13-A,-248.6083609459
S66x8/13-B,-115.7609641152
S66x8/13-090,-364.3773163907
S66x8/13-095,-364.3779932092
S66x8/13-100,-364.3781876191
S66x8/13-105,-364.3779142637
S66x8/13-110,-364.3774092696
S66x8/13-125,-364.3756455284
S66x8/13-150,-364.3734676276
S66x8/13-200,-364.371118887
S66x8/14-A,-248.6081181012
S66x8/14-B,-95.8886150615
S66x8/14-090,-344.5068216355
S66x8/14-095,-344.5077317017
S66x8/14-100,-344.5079107252
S66x8/14-105,-344.5076541599
S66x8/14-110,-344.5070950082
S66x8/14-125,-344.5047972006
S66x8/14-150,-344.5016175853
S66x8/14-200,-344.4987822752
S66x8/15-A,-248.6086708637
S66x8/15-B,-248.6087120687
S66x8/15-090,-497.2292380856
S66x8/15-095,-497.2301112203
S66x8/15-100,-497.2302782093
S66x8/15-105,-497.2299897823
S66x8/15-110,-497.2293435243
S66x8/15-125,-497.226878672
S66x8/15-150,-497.2235852647
S66x8/15-200,-497.2198279521
S66x8/16-A,-248.608865739
S66x8/16-B,-76.4537017065
S66x8/16-090,-325.0692953155
S66x8/16-095,-325.0698531941
S66x8/16-100,-325.069910613
S66x8/16-105,-325.0696053317
S66x8/16-110,-325.0692052599
S66x8/16-125,-325.0677813762
S66x8/16-150,-325.066158361
S66x8/16-200,-325.0642575174
S66x8/17-A,-414.9606052889
S66x8/17-B,-414.9607032961
S66x8/17-090,-829.9452840811
S66x8/17-095,-829.9472777207
S66x8/17-100,-829.9477134052
S66x8/17-105,-829.9471158611
S66x8/17-110,-829.945919114
S66x8/17-125,-829.9406059731
S66x8/17-150,-829.9327442133
S66x8/17-200,-829.9260522532
S66x8/18-A,-76.4537095663
S66x8/18-B,-248.3553078798
S66x8/18-090,-324.8180346146
S66x8/18-095,-324.8188053026
S66x8/18-100,-324.8188876842
S66x8/18-105,-324.8185402478
S66x8/18-110,-324.8179689045
S66x8/18-125,-324.8156576657
S66x8/18-150,-324.8128004702
S66x8/18-200,-324.8105069171
S66x8/19-A,-115.7608000364
S66x8/19-B,-248.355300241
S66x8/19-090,-364.1256579965
S66x8/19-095,-364.1266069779
S66x8/19-100,-364.1268150893
S66x8/19-105,-364.1265197117
S66x8/19-110,-364.1259487349
S66x8/19-125,-364.1236129286
S66x8/19-150,-364.120358957
S66x8/19-200,-364.1177839606
S66x8/20-A,-229.1664565429
S66x8/20-B,-229.1664738513
S66x8/20-090,-458.3613464001
S66x8/20-095,-458.3637915781
S66x8/20-100,-458.3643969076
S66x8/20-105,-458.3638023917
S66x8/20-110,-458.362457571
S66x8/20-125,-458.3564813693
S66x8/20-150,-458.3467204744
S66x8/20-200,-458.3383240373
S66x8/21-A,-209.2887644917
S66x8/21-B,-209.2887666885
S66x8/21-090,-418.6011234319
S66x8/21-095,-418.6029158776
S66x8/21-100,-418.6031984462
S66x8/21-105,-418.6025456514
S66x8/21-110,-418.6013405171
S66x8/21-125,-418.596185943
S66x8/21-150,-418.5888661869
S66x8/21-200,-418.5819768346
S66x8/22-A,-229.1663850449
S66x8/22-B,-414.9603878825
S66x8/22-090,-644.1548149112
S66x8/22-095,-644.1570913455
S66x8/22-100,-644.1576594443
S66x8/22-105,-644.1570850199
S66x8/22-110,-644.1558028272
S66x8/22-125,-644.1500419043
S66x8/22-150,-644.1409026151
S66x8/22-200,-644.1328095887
S66x8/23-A,-209.288640466
S66x8/23-B,-414.9602692415
S66x8/23-090,-624.2761401743
S66x8/23-095,-624.2781742634
S66x8/23-100,-624.2786623729
S66x8/23-105,-624.2781428247
S66x8/23-110,-624.2769678336
S66x8/23-125,-624.2716556989
S66x8/23-150,-624.2633467188
S66x8/23-200,-624.2556318292
S66x8/24-A,-232.3141506567
S66x8/24-B,-232.3141165774
S66x8/24-090,-464.6271637114
S66x8/24-095,-464.6303967354
S66x8/24-100,-464.6314695419
S66x8/24-105,-464.6315159831
S66x8/24-110,-464.631139052
S66x8/24-125,-464.6298828213
S66x8/24-150,-464.6284780246
S66x8/24-200,-464.6281398032
S66x8/25-A,-248.3553033879
S66x8/25-B,-248.3553212958
S66x8/25-090,-496.7111593348
S66x8/25-095,-496.7142011832
S66x8/25-100,-496.7151509024
S66x8/25-105,-496.715344391
S66x8/25-110,-496.7149020973
S66x8/25-125,-496.7134097471
S66x8/25-150,-496.7114464387
S66x8/25-200,-496.7107506246
S66x8/26-A,-414.961392259
S66x8/26-B,-414.9613922451
S66x8/26-090,-829.9332344791
S66x8/26-095,-829.9358596403
S66x8/26-100,-829.9363556203
S66x8/26-105,-829.9358408265
S66x8/26-110,-829.9349366613
S66x8/26-125,-829.9313256942
S66x8/26-150,-829.9268008982
S66x8/26-200,-829.9239442568
S66x8/27-A,-232.3141429767
S66x8/27-B,-248.3553334122
S66x8/27-090,-480.6690416886
S66x8/27-095,-480.6723503477
S66x8/27-100,-480.6735635866
S66x8/27-105,-480.6735800856
S66x8/27-110,-480.6731033996
S66x8/27-125,-480.6717341124
S66x8/27-150,-480.6699873805
S66x8/27-200,-480.6694727322
S66x8/28-A,-232.3140306506
S66x8/28-B,-414.9620038074
S66x8/28-090,-647.2796312183
S66x8/28-095,-647.2823853162
S66x8/28-100,-647.28332198
S66x8/28-105,-647.2829279457
S66x8/28-110,-647.282164818
S66x8/28-125,-647.2800969066
S66x8/28-150,-647.2773087918
S66x8/28-200,-647.2760687435
S66x8/29-A,-248.3552705875
S66x8/29-B,-414.9619831525
S66x8/29-090,-663.320863963
S66x8/29-095,-663.3249426549
S66x8/29-100,-663.3258849261
S66x8/29-105,-663.3254182602
S66x8/29-110,-663.3246300219
S66x8/29-125,-663.3220285709
S66x8/29-150,-663.3190838159
S66x8/29-200,-663.3176444329
S66x8/30-A,-232.314133215
S66x8/30-B,-78.610735024
S66x8/30-090,-310.9249237483
S66x8/30-095,-310.9261906319
S66x8/30-100,-310.9265257631
S66x8/30-105,-310.9263862719
S66x8/30-110,-310.9261157861
S66x8/30-125,-310.9254882053
S66x8/30-150,-310.9248104901
S66x8/30-200,-310.9247194479
S66x8/31-A,-414.9620163315
S66x8/31-B,-78.6107303395
S66x8/31-090,-493.5757157715
S66x8/31-095,-493.5767907519
S66x8/31-100,-493.5769047541
S66x8/31-105,-493.5767318118
S66x8/31-110,-493.5763395838
S66x8/31-125,-493.5751930176
S66x8/31-150,-493.5736669223
S66x8/31-200,-493.5728636622
S66x8/32-A,-414.962017644
S66x8/32-B,-77.353658955
S66x8/32-090,-492.3185787408
S66x8/32-095,-492.3199321634
S66x8/32-100,-492.3202200402
S66x8/32-105,-492.3199816557
S66x8/32-110,-492.3196333924
S66x8/32-125,-492.3183781765
S66x8/32-150,-492.3167173006
S66x8/32-200,-492.3156710014
S66x8/33-A,-248.3553499838
S66x8/33-B,-78.6106947871
S66x8/33-090,-326.9671987695
S66x8/33-095,-326.9680894958
S66x8/33-100,-326.9683593284
S66x8/33-105,-326.968251644
S66x8/33-110,-326.9679809889
S66x8/33-125,-326.9672361418
S66x8/33-150,-326.966314213
S66x8/33-200,-326.9660265258
S66x8/34-A,-197.8288595089
S66x8/34-B,-197.8288827944
S66x8/34-090,-395.6638882107
S66x8/34-095,-395.6645376809
S66x8/34-100,-395.6642219832
S66x8/34-105,-395.6638376845
S66x8/34-110,-395.6632436641
S66x8/34-125,-395.6616386563
S66x8/34-150,-395.6588557537
S66x8/34-200,-395.6580345945
S66x8/35-A,-197.8288636038
S66x8/35-B,-197.833052005
S66x8/35-090,-395.6646296212
S66x8/35-095,-395.6654398317
S66x8/35-100,-395.6654718059
S66x8/35-105,-395.6653021864
S66x8/35-110,-395.6647920072
S66x8/35-125,-395.6637712452
S66x8/35-150,-395.6622505382
S66x8/35-200,-395.6617780777
S66x8/36-A,-197.8330390429
S66x8/36-B,-197.8330643829
S66x8/36-090,-395.6677253739
S66x8/36-095,-395.6678710731
S66x8/36-100,-395.6678755875
S66x8/36-105,-395.6676379463
S66x8/36-110,-395.6674979553
S66x8/36-125,-395.6668081838
S66x8/36-150,-395.6657621192
S66x8/36-200,-395.6654859182
S66x8/37-A,-196.6135220687
S66x8/37-B,-197.832974993
S66x8/37-090,-394.449034748
S66x8/37-095,-394.4498970355
S66x8/37-100,-394.4499440175
S66x8/37-105,-394.4496621166
S66x8/37-110,-394.4493118317
S66x8/37-125,-394.4482181404
S66x8/37-150,-394.4469202859
S66x8/37-200,-394.4463442275
S66x8/38-A,-196.6134922775
S66x8/38-B,-196.6135006552
S66x8/38-090,-393.2300754298
S66x8/38-095,-393.2308983422
S66x8/38-100,-393.2309268846
S66x8/38-105,-393.2306100837
S66x8/38-110,-393.2302055513
S66x8/38-125,-393.2291679979
S66x8/38-150,-393.2276076567
S66x8/38-200,-393.2270071137
S66x8/39-A,-232.314121442
S66x8/39-B,-196.6134600765
S66x8/39-090,-428.9303167644
S66x8/39-095,-428.9318858976
S66x8/39-100,-428.9322892593
S66x8/39-105,-428.9321193888
S66x8/39-110,-428.931606116
S66x8/39-125,-428.9302211814
S66x8/39-150,-428.9283358179
S66x8/39-200,-428.9275967531
S66x8/40-A,-232.3141101764
S66x8/40-B,-197.832959536
S66x8/40-090,-430.1489637042
S66x8/40-095,-430.1501234474
S66x8/40-100,-430.1504553267
S66x8/40-105,-430.1501685816
S66x8/40-110,-430.1498418497
S66x8/40-125,-430.1487008868
S66x8/40-150,-430.1475933589
S66x8/40-200,-430.1469761514
S66x8/41-A,-414.9620268416
S66x8/41-B,-197.8289413616
S66x8/41-090,-612.7964774419
S66x8/41-095,-612.7975878757
S66x8/41-100,-612.7976473502
S66x8/41-105,-612.7972097551
S66x8/41-110,-612.7965733685
S66x8/41-125,-612.7941341888
S66x8/41-150,-612.7916870681
S66x8/41-200,-612.7909707199
S66x8/42-A,-414.9620519314
S66x8/42-B,-196.6134702948
S66x8/42-090,-611.5790743791
S66x8/42-095,-611.5804424245
S66x8/42-100,-611.5807494314
S66x8/42-105,-611.5803889765
S66x8/42-110,-611.5799453109
S66x8/42-125,-611.5783113226
S66x8/42-150,-611.5763943621
S66x8/42-200,-611.5755576834
S66x8/43-A,-414.962048939
S66x8/43-B,-197.8330403746
S66x8/43-090,-612.7981547649
S66x8/43-095,-612.7992207647
S66x8/43-100,-612.7993909711
S66x8/43-105,-612.7991205089
S66x8/43-110,-612.7987034204
S66x8/43-125,-612.7972915036
S66x8/43-150,-612.7955272382
S66x8/43-200,-612.7947576382
S66x8/44-A,-78.6107328585
S66x8/44-B,-197.828862799
S66x8/44-090,-276.4423075227
S66x8/44-095,-276.4426452327
S66x8/44-100,-276.4426393007
S66x8/44-105,-276.4423226359
S66x8/44-110,-276.4423356384
S66x8/44-125,-276.4414352418
S66x8/44-150,-276.4401339894
S66x8/44-200,-276.4397578781
S66x8/45-A,-77.3536751042
S66x8/45-B,-197.8289210507
S66x8/45-090,-275.184446212
S66x8/45-095,-275.1850264939
S66x8/45-100,-275.1851583434
S66x8/45-105,-275.1850413564
S66x8/45-110,-275.184777382
S66x8/45-125,-275.1838240215
S66x8/45-150,-275.1828449956
S66x8/45-200,-275.1824405863
S66x8/46-A,-248.60891785
S66x8/46-B,-197.8289048829
S66x8/46-090,-446.443975024
S66x8/46-095,-446.4442919497
S66x8/46-100,-446.4442665701
S66x8/46-105,-446.4438313242
S66x8/46-110,-446.4435679293
S66x8/46-125,-446.4418503405
S66x8/46-150,-446.4392372518
S66x8/46-200,-446.437964268
S66x8/47-A,-232.3140985246
S66x8/47-B,-232.3139983686
S66x8/47-090,-464.6286949523
S66x8/47-095,-464.6302608232
S66x8/47-100,-464.6307732705
S66x8/47-105,-464.6308895636
S66x8/47-110,-464.6307792654
S66x8/47-125,-464.6301419495
S66x8/47-150,-464.6288502293
S66x8/47-200,-464.6282933251
S66x8/48-A,-248.355297949
S66x8/48-B,-248.3552705989
S66x8/48-090,-496.7125702122
S66x8/48-095,-496.7137521696
S66x8/48-100,-496.714168011
S66x8/48-105,-496.7141561928
S66x8/48-110,-496.7139851688
S66x8/48-125,-496.7132385661
S66x8/48-150,-496.7117373418
S66x8/48-200,-496.7108945806
S66x8/49-A,-232.3140974337
S66x8/49-B,-248.3552974072
S66x8/49-090,-480.6705054555
S66x8/49-095,-480.6721889125
S66x8/49-100,-480.6726372846
S66x8/49-105,-480.6727483335
S66x8/49-110,-480.6725593305
S66x8/49-125,-480.671801296
S66x8/49-150,-480.6703916812
S66x8/49-200,-480.6696668981
S66x8/50-A,-232.3140898186
S66x8/50-B,-77.3537185973
S66x8/50-090,-309.6692465642
S66x8/50-095,-309.6705042046
S66x8/50-100,-309.6706666883
S66x8/50-105,-309.670613518
S66x8/50-110,-309.6703637248
S66x8/50-125,-309.6696569675
S66x8/50-150,-309.6686606828
S66x8/50-200,-309.6678891953
S66x8/51-A,-77.3536856737
S66x8/51-B,-77.3537332582
S66x8/51-090,-154.7085823102
S66x8/51-095,-154.7088846059
S66x8/51-100,-154.7089547683
S66x8/51-105,-154.708852484
S66x8/51-110,-154.7087302876
S66x8/51-125,-154.7084253352
S66x8/51-150,-154.7079194373
S66x8/51-200,-154.7075180769
S66x8/52-A,-232.3140897013
S66x8/52-B,-229.168634778
S66x8/52-090,-461.4873585443
S66x8/52-095,-461.4884864245
S66x8/52-100,-461.4887636005
S66x8/52-105,-461.4885462343
S66x8/52-110,-461.4881285784
S66x8/52-125,-461.4867006709
S66x8/52-150,-461.4848123422
S66x8/52-200,-461.4832659169
S66x8/53-A,-232.3140963592
S66x8/53-B,-209.289861271
S66x8/53-090,-441.6084184652
S66x8/53-095,-441.6092385703
S66x8/53-100,-441.6094004609
S66x8/53-105,-441.6091951308
S66x8/53-110,-441.6088060147
S66x8/53-125,-441.6075540084
S66x8/53-150,-441.6059151512
S66x8/53-200,-441.6043834323
S66x8/54-A,-232.3140766982
S66x8/54-B,-76.4536881654
S66x8/54-090,-308.771391581
S66x8/54-095,-308.7720524276
S66x8/54-100,-308.7721074555
S66x8/54-105,-308.7719237788
S66x8/54-110,-308.7715997969
S66x8/54-125,-308.7707182903
S66x8/54-150,-308.7693386931
S66x8/54-200,-308.7682117332
S66x8/55-A,-232.3140569462
S66x8/55-B,-115.7610454065
S66x8/55-090,-348.0794345848
S66x8/55-095,-348.0804552826
S66x8/55-100,-348.080618465
S66x8/55-105,-348.0804931627
S66x8/55-110,-348.0801427737
S66x8/55-125,-348.0789829039
S66x8/55-150,-348.0771767496
S66x8/55-200,-348.0756439132
S66x8/56-A,-232.3140965986
S66x8/56-B,-95.8886966231
S66x8/56-090,-328.2056812787
S66x8/56-095,-328.2066347897
S66x8/56-100,-328.2068491513
S66x8/56-105,-328.2067565257
S66x8/56-110,-328.2064483866
S66x8/56-125,-328.2054413198
S66x8/56-150,-328.203889047
S66x8/56-200,-328.2030139932
S66x8/57-A,-232.3140581181
S66x8/57-B,-248.6088612709
S66x8/57-090,-480.9272396628
S66x8/57-095,-480.9292630904
S66x8/57-100,-480.9297400368
S66x8/57-105,-480.9295137627
S66x8/57-110,-480.9290051722
S66x8/57-125,-480.9273882702
S66x8/57-150,-480.9250314284
S66x8/57-200,-480.9235182184
S66x8/58-A,-248.3552500146
S66x8/58-B,-248.3552305709
S66x8/58-090,-496.7128678089
S66x8/58-095,-496.7145712051
S66x8/58-100,-496.7150369671
S66x8/58-105,-496.7146660041
S66x8/58-110,-496.7141792559
S66x8/58-125,-496.712949425
S66x8/58-150,-496.7116211195
S66x8/58-200,-496.710759996
S66x8/59-A,-77.3537516973
S66x8/59-B,-76.4537056781
S66x8/59-090,-153.8109896473
S66x8/59-095,-153.8112316479
S66x8/59-100,-153.8111648875
S66x8/59-105,-153.8109442512
S66x8/59-110,-153.8106484132
S66x8/59-125,-153.8099308526
S66x8/59-150,-153.8089514721
S66x8/59-200,-153.8079469955
S66x8/60-A,-77.3536627092
S66x8/60-B,-229.1685801883
S66x8/60-090,-306.528718941
S66x8/60-095,-306.5294804512
S66x8/60-100,-306.5294273359
S66x8/60-105,-306.5290672752
S66x8/60-110,-306.5284607557
S66x8/60-125,-306.5265463606
S66x8/60-150,-306.5246020048
S66x8/60-200,-306.5228665925
S66x8/61-A,-197.828921523
S66x8/61-B,-229.1687347275
S66x8/61-090,-427.0019459687
S66x8/61-095,-427.0020830165
S66x8/61-100,-427.0019073722
S66x8/61-105,-427.001654387
S66x8/61-110,-427.0015047556
S66x8/61-125,-427.0002172707
S66x8/61-150,-426.9985007534
S66x8/61-200,-426.997716813
S66x8/62-A,-197.8289376116
S66x8/62-B,-209.2899050635
S66x8/62-090,-407.1238007509
S66x8/62-095,-407.1239913533
S66x8/62-100,-407.123852706
S66x8/62-105,-407.1236166919
S66x8/62-110,-407.1233476139
S66x8/62-125,-407.1220102811
S66x8/62-150,-407.1200393054
S66x8/62-200,-407.1189883239
S66x8/63-A,-232.3141284825
S66x8/63-B,-229.1686729309
S66x8/63-090,-461.4860500555
S66x8/63-095,-461.4872387266
S66x8/63-100,-461.4875342891
S66x8/63-105,-461.4874115259
S66x8/63-110,-461.4869506528
S66x8/63-125,-461.4857460021
S66x8/63-150,-461.4838682021
S66x8/63-200,-461.4829084689
S66x8/64-A,-248.608814326
S66x8/64-B,-78.6107875062
S66x8/64-090,-327.222884054
S66x8/64-095,-327.22340505
S66x8/64-100,-327.2234402874
S66x8/64-105,-327.223138218
S66x8/64-110,-327.2229447589
S66x8/64-125,-327.2220540423
S66x8/64-150,-327.2205330254
S66x8/64-200,-327.2196253119
S66x8/65-A,-248.355325516
S66x8/65-B,-77.3532351708
S66x8/65-090,-325.71395218
S66x8/65-095,-325.7143860501
S66x8/65-100,-325.7143806401
S66x8/65-105,-325.7141225628
S66x8/65-110,-325.713653699
S66x8/65-125,-325.712283501
S66x8/65-150,-325.7110053128
S66x8/65-200,-325.7097180029
S66x8/66-A,-95.8886856252
S66x8/66-B,-248.3553076613
S66x8/66-090,-344.2486336738
S66x8/66-095,-344.2492963933
S66x8/66-100,-344.2494633712
S66x8/66-105,-344.2492320533
S66x8/66-110,-344.2489211636
S66x8/66-125,-344.2476151722
S66x8/66-150,-344.2459194781
