system,O3LYP/def2-QZVP/ORCA
S22x5/09-1.2,-339.3389491456
S22x5/09-1.5,-339.3314957614
S22x5/09-2.0,-339.3248033774
S22x5/10-A,-231.8142883743
S22x5/10-B,-76.3372637919
S22x5/10-0.9,-308.1534953528
S22x5/10-1.0,-308.1546400081
S22x5/10-1.2,-308.1545494389
S22x5/10-1.5,-308.1534140565
S22x5/10-2.0,-308.1522478142
S22x5/11-A,-231.8143204703
S22x5/11-B,-56.4699529502
S22x5/11-0.9,-288.2837980937
S22x5/11-1.0,-288.2852511788
S22x5/11-1.2,-288.2857523579
S22x5/11-1.5,-288.285237333
S22x5/11-2.0,-288.2845989739
S22x5/12-A,-231.8143508683
S22x5/12-B,-40.4265628004
S22x5/12-0.9,-272.2384593408
S22x5/12-1.0,-272.2402192905
S22x5/12-1.2,-272.2412323278
S22x5/12-1.5,-272.2412106685
S22x5/12-2.0,-272.2409829486
S22x5/13-A,-231.8143268476
S22x5/13-B,-231.8143140353
S22x5/13-0.9,-463.6253849624
S22x5/13-1.0,-463.6278756246
S22x5/13-1.2,-463.6293909411
S22x5/13-1.5,-463.6293536283
S22x5/13-2.0,-463.628891765
S22x5/14-A,-231.8143489467
S22x5/14-B,-231.8143489467
S22x5/14-0.9,-463.6146905155
S22x5/14-1.0,-463.623469879
S22x5/14-1.2,-463.6279544061
S22x5/14-1.5,-463.628594402
S22x5/14-2.0,-463.6286332482
S22x5/15-A,-231.8142266615
S22x5/15-B,-363.1816683872
S22x5/15-0.9,-594.9951014212
S22x5/15-1.0,-594.9981102971
S22x5/15-1.2,-594.9995202971
S22x5/15-1.5,-594.9986402041
S22x5/15-2.0,-594.9971106454
S22x5/16-A,-231.8143086856
S22x5/16-B,-363.1816570957
S22x5/16-0.9,-594.9791203872
S22x5/16-1.0,-594.9893731835
S22x5/16-1.2,-594.9948763189
S22x5/16-1.5,-594.9956818942
S22x5/16-2.0,-594.9957019166
S22x5/17-A,-263.8756602981
S22x5/17-B,-263.8756462591
S22x5/17-0.9,-527.7391970429
S22x5/17-1.0,-527.7481398998
S22x5/17-1.2,-527.7520158089
S22x5/17-1.5,-527.7518405103
S22x5/17-2.0,-527.7514009083
S22x5/18-A,-323.0083961422
S22x5/18-B,-303.1412962991
S22x5/18-0.9,-626.1722240171
S22x5/18-1.0,-626.1737267532
S22x5/18-1.2,-626.1692168879
S22x5/18-1.5,-626.1612726864
S22x5/18-2.0,-626.1544937512
S22x5/19-A,-306.9604263896
S22x5/19-B,-306.9602750366
S22x5/19-0.9,-613.9244756888
S22x5/19-1.0,-613.9262429147
S22x5/19-1.2,-613.9260370967
S22x5/19-1.5,-613.9242363338
S22x5/19-2.0,-613.922270616
S22x5/20-A,-414.2319445456
S22x5/20-B,-414.2319445456
S22x5/20-0.9,-828.455859272
S22x5/20-1.0,-828.4664017151
S22x5/20-1.2,-828.4688144235
S22x5/20-1.5,-828.4664723367
S22x5/20-2.0,-828.4647599028
S22x5/21-A,-414.2311956624
S22x5/21-B,-414.2311956624
S22x5/21-0.9,-828.4907899485
S22x5/21-1.0,-828.4923815332
S22x5/21-1.2,-828.4869685866
S22x5/21-1.5,-828.4775572772
S22x5/21-2.0,-828.4691774678
S22x5/22-A,-231.8142496796
S22x5/22-B,-93.2685155796
S22x5/22-0.9,-325.0852545338
S22x5/22-1.0,-325.0867858584
S22x5/22-1.2,-325.0868646364
S22x5/22-1.5,-325.0854784644
S22x5/22-2.0,-325.0839477635
S66x8/01-A,-76.3373539321
S66x8/01-B,-76.3373442595
S66x8/01-090,-152.6824968807
S66x8/01-095,-152.6828017356
S66x8/01-100,-152.6827078478
S66x8/01-105,-152.6823790444
S66x8/01-110,-152.6819250225
S66x8/01-125,-152.6803683528
S66x8/01-150,-152.6782437674
S66x8/01-200,-152.6761257762
S66x8/02-A,-76.337359042
S66x8/02-B,-115.5528812403
S66x8/02-090,-191.8981294513
S66x8/02-095,-191.8985632538
S66x8/02-100,-191.8985396085
S66x8/02-105,-191.8982427002
S66x8/02-110,-191.8977938623
S66x8/02-125,-191.896185245
S66x8/02-150,-191.8939341225
S66x8/02-200,-191.8916749172
S66x8/03-A,-76.3373635756
S66x8/03-B,-95.6909218148
S66x8/03-090,-172.0391834418
S66x8/03-095,-172.0394800964
S66x8/03-100,-172.0392778237
S66x8/03-105,-172.0387786062
S66x8/03-110,-172.0381192791
S66x8/03-125,-172.0358999135
S66x8/03-150,-172.0329120977
S66x8/03-200,-172.0299776522
S66x8/04-A,-76.3373635295
S66x8/04-B,-248.1338364854
S66x8/04-090,-324.4821131997
S66x8/04-095,-324.4826265243
S66x8/04-100,-324.482604395
S66x8/04-105,-324.482255373
S66x8/04-110,-324.4817166534
S66x8/04-125,-324.4797212392
S66x8/04-150,-324.4767972671
S66x8/04-200,-324.4732848395
S66x8/05-A,-115.5529756159
S66x8/05-B,-115.5529034921
S66x8/05-090,-231.1136213173
S66x8/05-095,-231.1141613495
S66x8/05-100,-231.1142148074
S66x8/05-105,-231.1139741504
S66x8/05-110,-231.1135642871
S66x8/05-125,-231.1120058997
S66x8/05-150,-231.1097487888
S66x8/05-200,-231.1074390431
S66x8/06-A,-115.5528046863
S66x8/06-B,-95.6909104862
S66x8/06-090,-211.2541975677
S66x8/06-095,-211.2548417389
S66x8/06-100,-211.2548783364
S66x8/06-105,-211.2545362397
S66x8/06-110,-211.2539751059
S66x8/06-125,-211.2518524249
S66x8/06-150,-211.2487972936
S66x8/06-200,-211.2457189846
S66x8/07-A,-115.5528786062
S66x8/07-B,-248.1334957167
S66x8/07-090,-363.6970237758
S66x8/07-095,-363.697682051
S66x8/07-100,-363.6977587105
S66x8/07-105,-363.6974761913
S66x8/07-110,-363.6969818489
S66x8/07-125,-363.6950401262
S66x8/07-150,-363.6917205288
S66x8/07-200,-363.6880486101
S66x8/08-A,-115.5529968165
S66x8/08-B,-76.3373477249
S66x8/08-090,-191.8979334315
S66x8/08-095,-191.8983361543
S66x8/08-100,-191.898313938
S66x8/08-105,-191.898037173
S66x8/08-110,-191.8976183139
S66x8/08-125,-191.8961128333
S66x8/08-150,-191.8939966533
S66x8/08-200,-191.8918649053
S66x8/09-A,-95.6909397846
S66x8/09-B,-115.5529659545
S66x8/09-090,-211.2465630287
S66x8/09-095,-211.2471413274
S66x8/09-100,-211.2473656385
S66x8/09-105,-211.2473694335
S66x8/09-110,-211.2472411297
S66x8/09-125,-211.2465761242
S66x8/09-150,-211.2455241802
S66x8/09-200,-211.2445225724
S66x8/10-A,-95.6909605471
S66x8/10-B,-95.6908999561
S66x8/10-090,-191.3849346074
S66x8/10-095,-191.3857879407
S66x8/10-100,-191.3861528724
S66x8/10-105,-191.3862069896
S66x8/10-110,-191.3860814878
S66x8/10-125,-191.3852873923
S66x8/10-150,-191.3836591004
S66x8/10-200,-191.3824045492
S66x8/11-A,-95.6907837177
S66x8/11-B,-248.1336474248
S66x8/11-090,-343.8277251574
S66x8/11-095,-343.828770294
S66x8/11-100,-343.8292886658
S66x8/11-105,-343.8294644129
S66x8/11-110,-343.8294244347
S66x8/11-125,-343.8282354578
S66x8/11-150,-343.8263797494
S66x8/11-200,-343.8251645625
S66x8/12-A,-95.6908656236
S66x8/12-B,-76.336969092
S66x8/12-090,-172.0387808687
S66x8/12-095,-172.0392759138
S66x8/12-100,-172.0392010365
S66x8/12-105,-172.0387801599
S66x8/12-110,-172.0381656827
S66x8/12-125,-172.0359807567
S66x8/12-150,-172.0329500913
S66x8/12-200,-172.0299474633
S66x8/13-A,-248.1335512382
S66x8/13-B,-115.5529216475
S66x8/13-090,-363.6924818873
S66x8/13-095,-363.6933312992
S66x8/13-100,-363.6936693338
S66x8/13-105,-363.6936794133
S66x8/13-110,-363.6934891217
S66x8/13-125,-363.6924275908
S66x8/13-150,-363.6905648737
S66x8/13-200,-363.6883860819
S66x8/14-A,-248.1333474526
S66x8/14-B,-95.6908704312
S66x8/14-090,-343.8323146498
S66x8/14-095,-343.8331980808
S66x8/14-100,-343.8334868828
S66x8/14-105,-343.8333980606
S66x8/14-110,-343.8330811416
S66x8/14-125,-343.8315876465
S66x8/14-150,-343.8291520088
S66x8/14-200,-343.8264219387
S66x8/15-A,-248.1337201613
S66x8/15-B,-248.1337726942
S66x8/15-090,-496.2758304923
S66x8/15-095,-496.2768049144
S66x8/15-100,-496.2771908677
S66x8/15-105,-496.2771950224
S66x8/15-110,-496.2769580117
S66x8/15-125,-496.2756285689
S66x8/15-150,-496.2732583003
S66x8/15-200,-496.2700159501
S66x8/16-A,-248.1338935287
S66x8/16-B,-76.3373504475
S66x8/16-090,-324.4777478312
S66x8/16-095,-324.4783312863
S66x8/16-100,-324.4784833905
S66x8/16-105,-324.4783686636
S66x8/16-110,-324.4781006441
S66x8/16-125,-324.4769329145
S66x8/16-150,-324.4750815243
S66x8/16-200,-324.4730562289
S66x8/17-A,-414.2314407997
S66x8/17-B,-414.2315579528
S66x8/17-090,-828.4866329871
S66x8/17-095,-828.4878887962
S66x8/17-100,-828.487928856
S66x8/17-105,-828.4872092653
S66x8/17-110,-828.4860429472
S66x8/17-125,-828.4816000853
S66x8/17-150,-828.4749668293
S66x8/17-200,-828.4679578269
S66x8/18-A,-76.3373611218
S66x8/18-B,-247.8468981579
S66x8/18-090,-324.1945496442
S66x8/18-095,-324.1949159977
S66x8/18-100,-324.1947734329
S66x8/18-105,-324.1943266027
S66x8/18-110,-324.193714699
S66x8/18-125,-324.1916152289
S66x8/18-150,-324.1887651385
S66x8/18-200,-324.185946849
S66x8/19-A,-115.5528036963
S66x8/19-B,-247.846891868
S66x8/19-090,-363.4099118969
S66x8/19-095,-363.4105114823
S66x8/19-100,-363.4105302388
S66x8/19-105,-363.4101914353
S66x8/19-110,-363.4094382769
S66x8/19-125,-363.4076127577
S66x8/19-150,-363.4044348932
S66x8/19-200,-363.4014239189
S66x8/20-A,-228.7714700955
S66x8/20-B,-228.7714670694
S66x8/20-090,-457.5723968396
S66x8/20-095,-457.5735457591
S66x8/20-100,-457.5732804287
S66x8/20-105,-457.57214994
S66x8/20-110,-457.5705313252
S66x8/20-125,-457.5648141901
S66x8/20-150,-457.556694255
S66x8/20-200,-457.5485123875
S66x8/21-A,-208.9050016897
S66x8/21-B,-208.905004597
S66x8/21-090,-417.8328916717
S66x8/21-095,-417.8340523585
S66x8/21-100,-417.8340670332
S66x8/21-105,-417.833372125
S66x8/21-110,-417.8322615435
S66x8/21-125,-417.8280754287
S66x8/21-150,-417.8219073043
S66x8/21-200,-417.8147137101
S66x8/22-A,-228.7713810342
S66x8/22-B,-414.2312936304
S66x8/22-090,-643.0313207202
S66x8/22-095,-643.0325481966
S66x8/22-100,-643.0324533969
S66x8/22-105,-643.0315288028
S66x8/22-110,-643.0301174291
S66x8/22-125,-643.0248800451
S66x8/22-150,-643.0171795253
S66x8/22-200,-643.0089895264
S66x8/23-A,-208.9049201619
S66x8/23-B,-414.2311478578
S66x8/23-090,-623.1633609053
S66x8/23-095,-623.1646272602
S66x8/23-100,-623.1646924409
S66x8/23-105,-623.163989412
S66x8/23-110,-623.1628196646
S66x8/23-125,-623.1582403901
S66x8/23-150,-623.1511738843
S66x8/23-200,-623.1432101364
S66x8/24-A,-231.8144041098
S66x8/24-B,-231.8143481473
S66x8/24-090,-463.6152294346
S66x8/24-095,-463.6204400229
S66x8/24-100,-463.62359159
S66x8/24-105,-463.6254956942
S66x8/24-110,-463.6266789326
S66x8/24-125,-463.6281992354
S66x8/24-150,-463.6285776613
S66x8/24-200,-463.6286368468
S66x8/25-A,-247.8468557351
S66x8/25-B,-247.8468920849
S66x8/25-090,-495.6818703753
S66x8/25-095,-495.6868924547
S66x8/25-100,-495.6899524562
S66x8/25-105,-495.6918271952
S66x8/25-110,-495.6929363855
S66x8/25-125,-495.6941991614
S66x8/25-150,-495.6942301192
S66x8/25-200,-495.693907591
S66x8/26-A,-414.231944849
S66x8/26-B,-414.231944849
S66x8/26-090,-828.4585507041
S66x8/26-095,-828.4635497758
S66x8/26-100,-828.4664024441
S66x8/26-105,-828.4679581351
S66x8/26-110,-828.4687118749
S66x8/26-125,-828.4687209093
S66x8/26-150,-828.4670225198
S66x8/26-200,-828.4650585998
S66x8/27-A,-231.8143938282
S66x8/27-B,-247.8469101838
S66x8/27-090,-479.6483238317
S66x8/27-095,-479.6537016153
S66x8/27-100,-479.6569211384
S66x8/27-105,-479.6588033814
S66x8/27-110,-479.6599383214
S66x8/27-125,-479.6612576568
S66x8/27-150,-479.6614237521
S66x8/27-200,-479.6612756255
S66x8/28-A,-231.814203439
S66x8/28-B,-414.2325358581
S66x8/28-090,-646.0354656357
S66x8/28-095,-646.0405319971
S66x8/28-100,-646.0436539652
S66x8/28-105,-646.0454810711
S66x8/28-110,-646.0465695254
S66x8/28-125,-646.0476593186
S66x8/28-150,-646.0473574198
S66x8/28-200,-646.0467990964
S66x8/29-A,-247.8468138613
S66x8/29-B,-414.2325435536
S66x8/29-090,-662.067925805
S66x8/29-095,-662.0744667364
S66x8/29-100,-662.0780670056
S66x8/29-105,-662.0800163551
S66x8/29-110,-662.0810498011
S66x8/29-125,-662.0816366999
S66x8/29-150,-662.0807617098
S66x8/29-200,-662.0797620667
S66x8/30-A,-231.8143751656
S66x8/30-B,-78.4292710072
S66x8/30-090,-310.2362706401
S66x8/30-095,-310.2388914504
S66x8/30-100,-310.2405192851
S66x8/30-105,-310.2415420423
S66x8/30-110,-310.2422042723
S66x8/30-125,-310.2430805821
S66x8/30-150,-310.2433938932
S66x8/30-200,-310.2435300163
S66x8/31-A,-414.2325701962
S66x8/31-B,-78.4292569741
S66x8/31-090,-492.6573078135
S66x8/31-095,-492.6596441098
S66x8/31-100,-492.6610696362
S66x8/31-105,-492.6619246176
S66x8/31-110,-492.6624199161
S66x8/31-125,-492.6628210461
S66x8/31-150,-492.6624849144
S66x8/31-200,-492.6619641973
S66x8/32-A,-414.2326201565
S66x8/32-B,-77.1799191524
S66x8/32-090,-491.4091002847
S66x8/32-095,-491.4114198243
S66x8/32-100,-491.4127538455
S66x8/32-105,-491.413484687
S66x8/32-110,-491.4138566047
S66x8/32-125,-491.4139312059
S66x8/32-150,-491.4132533024
S66x8/32-200,-491.4125272996
S66x8/33-A,-247.8469384601
S66x8/33-B,-78.4292354974
S66x8/33-090,-326.2699362643
S66x8/33-095,-326.2722277643
S66x8/33-100,-326.2736929349
S66x8/33-105,-326.2746389985
S66x8/33-110,-326.2752309151
S66x8/33-125,-326.275992066
S66x8/33-150,-326.2761665836
S66x8/33-200,-326.2761453137
S66x8/34-A,-197.3670363421
S66x8/34-B,-197.3670333567
S66x8/34-090,-394.7262555581
S66x8/34-095,-394.7294870816
S66x8/34-100,-394.731513571
S66x8/34-105,-394.7328094068
S66x8/34-110,-394.7335873281
S66x8/34-125,-394.7346308624
S66x8/34-150,-394.7346414799
S66x8/34-200,-394.7343484186
S66x8/35-A,-197.3670358629
S66x8/35-B,-197.3691459597
S66x8/35-090,-394.7305400156
S66x8/35-095,-394.7330797989
S66x8/35-100,-394.734571324
S66x8/35-105,-394.7354611822
S66x8/35-110,-394.7359607065
S66x8/35-125,-394.7365394508
S66x8/35-150,-394.7364944607
S66x8/35-200,-394.7362952046
S66x8/36-A,-197.3691579595
S66x8/36-B,-197.3691821817
S66x8/36-090,-394.7348051092
S66x8/36-095,-394.7361912532
S66x8/36-100,-394.7370841637
S66x8/36-105,-394.7376514132
S66x8/36-110,-394.737979086
S66x8/36-125,-394.738367258
S66x8/36-150,-394.7383719194
S66x8/36-200,-394.7382358043
S66x8/37-A,-196.168468263
S66x8/37-B,-197.3691570352
S66x8/37-090,-393.531712619
S66x8/37-095,-393.5342034316
S66x8/37-100,-393.535680115
S66x8/37-105,-393.5365755908
S66x8/37-110,-393.5371458603
S66x8/37-125,-393.5377966035
S66x8/37-150,-393.5378173007
S66x8/37-200,-393.5376282409
S66x8/38-A,-196.168410619
S66x8/38-B,-196.1684238153
S66x8/38-090,-392.3309845744
S66x8/38-095,-392.3333369812
S66x8/38-100,-392.3349611944
S66x8/38-105,-392.3359520844
S66x8/38-110,-392.3365717518
S66x8/38-125,-392.3371873358
S66x8/38-150,-392.3371004172
S66x8/38-200,-392.3368541175
S66x8/39-A,-231.8143557086
S66x8/39-B,-196.1683958616
S66x8/39-090,-427.9745323356
S66x8/39-095,-427.9779773002
S66x8/39-100,-427.9801470026
S66x8/39-105,-427.9814987443
S66x8/39-110,-427.9822934844
S66x8/39-125,-427.983138786
S66x8/39-150,-427.9830937917
S66x8/39-200,-427.9827952807
S66x8/40-A,-231.8143369122
S66x8/40-B,-197.3691196254
S66x8/40-090,-429.1772929069
S66x8/40-095,-429.1800354801
S66x8/40-100,-429.1817017601
S66x8/40-105,-429.1826974018
S66x8/40-110,-429.18329537
S66x8/40-125,-429.1839226582
S66x8/40-150,-429.1838283832
S66x8/40-200,-429.1835776407
S66x8/41-A,-414.2325193318
S66x8/41-B,-197.3670974759
S66x8/41-090,-611.5913069473
S66x8/41-095,-611.5948142785
S66x8/41-100,-611.5970411622
S66x8/41-105,-611.5984723479
S66x8/41-110,-611.599474829
S66x8/41-125,-611.6002961297
S66x8/41-150,-611.6000020289
S66x8/41-200,-611.5996347156
S66x8/42-A,-414.232509257
S66x8/42-B,-196.1683987305
S66x8/42-090,-610.3927801235
S66x8/42-095,-610.3963524571
S66x8/42-100,-610.3985057341
S66x8/42-105,-610.3998192019
S66x8/42-110,-610.4006066949
S66x8/42-125,-610.401419566
S66x8/42-150,-610.4012898524
S66x8/42-200,-610.4009595914
S66x8/43-A,-414.232558923
S66x8/43-B,-197.3691093413
S66x8/43-090,-611.5957893277
S66x8/43-095,-611.5986368172
S66x8/43-100,-611.6003474074
S66x8/43-105,-611.6013395768
S66x8/43-110,-611.60189386
S66x8/43-125,-611.6023463323
S66x8/43-150,-611.602046833
S66x8/43-200,-611.6016375954
S66x8/44-A,-78.4292689637
S66x8/44-B,-197.3670629033
S66x8/44-090,-275.7930043464
S66x8/44-095,-275.79455016
S66x8/44-100,-275.7954974097
S66x8/44-105,-275.7960745306
S66x8/44-110,-275.7964039911
S66x8/44-125,-275.7967543019
S66x8/44-150,-275.7966421563
S66x8/44-200,-275.7964394166
S66x8/45-A,-77.1799292382
S66x8/45-B,-197.3670843816
S66x8/45-090,-274.543141766
S66x8/45-095,-274.5449179939
S66x8/45-100,-274.5459812291
S66x8/45-105,-274.5466100703
S66x8/45-110,-274.5469732327
S66x8/45-125,-274.5472929099
S66x8/45-150,-274.5471274613
S66x8/45-200,-274.5468711959
S66x8/46-A,-248.1339111561
S66x8/46-B,-197.3670274793
S66x8/46-090,-445.4956093407
S66x8/46-095,-445.4979347684
S66x8/46-100,-445.4994811338
S66x8/46-105,-445.5004930358
S66x8/46-110,-445.5011222817
S66x8/46-125,-445.5018643197
S66x8/46-150,-445.5016543552
S66x8/46-200,-445.5011321428
S66x8/47-A,-231.8143157615
S66x8/47-B,-231.8141576794
S66x8/47-090,-463.6234170881
S66x8/47-095,-463.6260794179
S66x8/47-100,-463.6276165228
S66x8/47-105,-463.6285177848
S66x8/47-110,-463.6290215329
S66x8/47-125,-463.6294499955
S66x8/47-150,-463.6291914736
S66x8/47-200,-463.6287956867
S66x8/48-A,-247.8468495822
S66x8/48-B,-247.8467981022
S66x8/48-090,-495.6901707896
S66x8/48-095,-495.6924074613
S66x8/48-100,-495.693738371
S66x8/48-105,-495.6945184602
S66x8/48-110,-495.694937107
S66x8/48-125,-495.6951861167
S66x8/48-150,-495.6947134462
S66x8/48-200,-495.694048377
S66x8/49-A,-231.8143149064
S66x8/49-B,-247.8468573577
S66x8/49-090,-479.65674519
S66x8/49-095,-479.6593959502
S66x8/49-100,-479.6609034322
S66x8/49-105,-479.6617578178
S66x8/49-110,-479.6622202108
S66x8/49-125,-479.6625021814
S66x8/49-150,-479.6620654307
S66x8/49-200,-479.6614889341
S66x8/50-A,-231.8142997558
S66x8/50-B,-77.1799886234
S66x8/50-090,-308.9925575415
S66x8/50-095,-308.9943701822
S66x8/50-100,-308.9953330365
S66x8/50-105,-308.9957819555
S66x8/50-110,-308.9959655108
S66x8/50-125,-308.9957783801
S66x8/50-150,-308.9950472347
S66x8/50-200,-308.9943621576
S66x8/51-A,-77.1799410441
S66x8/51-B,-77.1800010036
S66x8/51-090,-154.3607424257
S66x8/51-095,-154.3612844022
S66x8/51-100,-154.3615176572
S66x8/51-105,-154.3615669242
S66x8/51-110,-154.3615122821
S66x8/51-125,-154.3611260858
S66x8/51-150,-154.3605240977
S66x8/51-200,-154.3600546616
S66x8/52-A,-231.814298887
S66x8/52-B,-228.77324524
S66x8/52-090,-460.5883096829
S66x8/52-095,-460.5898445911
S66x8/52-100,-460.5906221484
S66x8/52-105,-460.5909572471
S66x8/52-110,-460.5910326215
S66x8/52-125,-460.5905575763
S66x8/52-150,-460.5894175222
S66x8/52-200,-460.5881514688
S66x8/53-A,-231.8143085612
S66x8/53-B,-208.9058661184
S66x8/53-090,-440.721296691
S66x8/53-095,-440.7225301726
S66x8/53-100,-440.723185812
S66x8/53-105,-440.7234681399
S66x8/53-110,-440.7235251829
S66x8/53-125,-440.7230888676
S66x8/53-150,-440.72197611
S66x8/53-200,-440.7206810327
S66x8/54-A,-231.8142787016
S66x8/54-B,-76.337291537
S66x8/54-090,-308.1530876458
S66x8/54-095,-308.1541354882
S66x8/54-100,-308.1546345432
S66x8/54-105,-308.1548077761
S66x8/54-110,-308.1547858446
S66x8/54-125,-308.1542652375
S66x8/54-150,-308.1532311669
S66x8/54-200,-308.1521407661
S66x8/55-A,-231.8142466991
S66x8/55-B,-115.5530173465
S66x8/55-090,-347.3669400135
S66x8/55-095,-347.368586097
S66x8/55-100,-347.3694907384
S66x8/55-105,-347.3699693251
S66x8/55-110,-347.3701763422
S66x8/55-125,-347.3699807988
S66x8/55-150,-347.3690608697
S66x8/55-200,-347.3679257075
S66x8/56-A,-231.8143121298
S66x8/56-B,-95.6909339554
S66x8/56-090,-327.5025283064
S66x8/56-095,-327.5043686691
S66x8/56-100,-327.5054688683
S66x8/56-105,-327.5061489853
S66x8/56-110,-327.5065190746
S66x8/56-125,-327.5066647038
S66x8/56-150,-327.5061543754
S66x8/56-200,-327.505521682
S66x8/57-A,-231.8142502637
S66x8/57-B,-248.1339036841
S66x8/57-090,-479.9442839266
S66x8/57-095,-479.9475840314
S66x8/57-100,-479.9494201812
S66x8/57-105,-479.9503868274
S66x8/57-110,-479.9508639943
S66x8/57-125,-479.9509369386
S66x8/57-150,-479.9500202752
S66x8/57-200,-479.9488787277
S66x8/58-A,-247.8468216284
S66x8/58-B,-247.8467553876
S66x8/58-090,-495.6940254009
S66x8/58-095,-495.6958914217
S66x8/58-100,-495.6969768043
S66x8/58-105,-495.6971539616
S66x8/58-110,-495.6969759664
S66x8/58-125,-495.6959981616
S66x8/58-150,-495.6947729737
S66x8/58-200,-495.6938956781
S66x8/59-A,-77.180037599
S66x8/59-B,-76.3373443857
S66x8/59-090,-153.5211484095
S66x8/59-095,-153.5215293137
S66x8/59-100,-153.5215980165
S66x8/59-105,-153.5214806532
S66x8/59-110,-153.52125465
S66x8/59-125,-153.5203675666
S66x8/59-150,-153.51909077
S66x8/59-200,-153.5178806049
S66x8/60-A,-77.1799281878
S66x8/60-B,-228.7732193056
S66x8/60-090,-305.9581090898
S66x8/60-095,-305.9588620019
S66x8/60-100,-305.9590535065
S66x8/60-105,-305.9589238823
S66x8/60-110,-305.9586171068
S66x8/60-125,-305.9573430265
S66x8/60-150,-305.9555359185
S66x8/60-200,-305.9538519739
S66x8/61-A,-197.3670479886
S66x8/61-B,-228.7733069879
S66x8/61-090,-426.1372771156
S66x8/61-095,-426.1386442302
S66x8/61-100,-426.1395609819
S66x8/61-105,-426.140164493
S66x8/61-110,-426.1405499771
S66x8/61-125,-426.1409997918
S66x8/61-150,-426.1408054052
S66x8/61-200,-426.1404507649
S66x8/62-A,-197.3670899486
S66x8/62-B,-208.9058783141
S66x8/62-090,-406.2693844949
S66x8/62-095,-406.271194919
S66x8/62-100,-406.2723726359
S66x8/62-105,-406.2730962267
S66x8/62-110,-406.2735242318
S66x8/62-125,-406.2739295336
S66x8/62-150,-406.273642358
S66x8/62-200,-406.2731269135
S66x8/63-A,-231.8143651359
S66x8/63-B,-228.7732507208
S66x8/63-090,-460.5828467558
S66x8/63-095,-460.5855575351
S66x8/63-100,-460.5871577667
S66x8/63-105,-460.588078887
S66x8/63-110,-460.5885642119
S66x8/63-125,-460.588875543
S66x8/63-150,-460.5883794078
S66x8/63-200,-460.5877825279
S66x8/64-A,-248.1338401625
S66x8/64-B,-78.429346026
S66x8/64-090,-326.561778146
S66x8/64-095,-326.5630894274
S66x8/64-100,-326.563862062
S66x8/64-105,-326.5643002436
S66x8/64-110,-326.5645199879
S66x8/64-125,-326.5645098261
S66x8/64-150,-326.5639068086
S66x8/64-200,-326.5632381835
S66x8/65-A,-247.8469048429
S66x8/65-B,-77.179480772
S66x8/65-090,-325.0317361395
S66x8/65-095,-325.0321931077
S66x8/65-100,-325.0322756925
S66x8/65-105,-325.0321309363
S66x8/65-110,-325.03185547
S66x8/65-125,-325.0307809554
S66x8/65-150,-325.0292362105
S66x8/65-200,-325.0277533739
S66x8/66-A,-95.6909163237
S66x8/66-B,-247.8468764297
S66x8/66-090,-343.5375252046
S66x8/66-095,-343.538789354
S66x8/66-100,-343.5395443584
S66x8/66-105,-343.5399650178
S66x8/66-110,-343.5401624125
S66x8/66-125,-343.5400807417
