system,DSDBLYP/def2-QZVP/ORCA
S66x8/04-150,-324.7659740876
S66x8/04-200,-324.7624078697
S66x8/05-A,-115.6568118041
S66x8/05-B,-115.6569794382
S66x8/05-090,-231.3218838185
S66x8/05-095,-231.3225334572
S66x8/05-100,-231.3226226009
S66x8/05-105,-231.3223667987
S66x8/05-110,-231.3219114242
S66x8/05-125,-231.3201479373
S66x8/05-150,-231.3176581872
S66x8/05-200,-231.3153543594
S66x8/06-A,-115.6565492331
S66x8/06-B,-95.7863888224
S66x8/06-090,-211.4533133155
S66x8/06-095,-211.4541470699
S66x8/06-100,-211.4542946183
S66x8/06-105,-211.4540092708
S66x8/06-110,-211.4534655533
S66x8/06-125,-211.4512607183
S66x8/06-150,-211.4480040348
S66x8/06-200,-211.4448862548
S66x8/07-A,-115.6566496276
S66x8/07-B,-248.3598390537
S66x8/07-090,-364.0277461904
S66x8/07-095,-364.0285799562
S66x8/07-100,-364.028736736
S66x8/07-105,-364.0284610601
S66x8/07-110,-364.027922773
S66x8/07-125,-364.0257074004
S66x8/07-150,-364.0219114533
S66x8/07-200,-364.0181628274
S66x8/08-A,-115.6568444596
S66x8/08-B,-76.4005496461
S66x8/08-090,-192.0648044867
S66x8/08-095,-192.0653497122
S66x8/08-100,-192.0653962522
S66x8/08-105,-192.06514021
S66x8/08-110,-192.0647120848
S66x8/08-125,-192.0631080267
S66x8/08-150,-192.060892017
S66x8/08-200,-192.0588605241
S66x8/09-A,-95.7863080058
S66x8/09-B,-115.6569790322
S66x8/09-090,-211.446861305
S66x8/09-095,-211.4473107867
S66x8/09-100,-211.4473832263
S66x8/09-105,-211.4472368542
S66x8/09-110,-211.4469769093
S66x8/09-125,-211.44602675
S66x8/09-150,-211.4448400731
S66x8/09-200,-211.4438961114
S66x8/10-A,-95.7862997319
S66x8/10-B,-95.7863586316
S66x8/10-090,-191.5771858997
S66x8/10-095,-191.5779463484
S66x8/10-100,-191.5781566638
S66x8/10-105,-191.5780381857
S66x8/10-110,-191.5777324086
S66x8/10-125,-191.5764604794
S66x8/10-150,-191.5744561378
S66x8/10-200,-191.5732395353
S66x8/11-A,-95.7861036839
S66x8/11-B,-248.3599743418
S66x8/11-090,-344.1520720549
S66x8/11-095,-344.152906238
S66x8/11-100,-344.1531548809
S66x8/11-105,-344.1530392355
S66x8/11-110,-344.1527113434
S66x8/11-125,-344.1504868933
S66x8/11-150,-344.1481232697
S66x8/11-200,-344.1469090344
S66x8/12-A,-95.7863607607
S66x8/12-B,-76.4001281011
S66x8/12-090,-172.1972224567
S66x8/12-095,-172.1979360014
S66x8/12-100,-172.1979975284
S66x8/12-105,-172.1976503268
S66x8/12-110,-172.1970617634
S66x8/12-125,-172.1948064874
S66x8/12-150,-172.1915909897
S66x8/12-200,-172.1885864291
S66x8/13-A,-248.359905555
S66x8/13-B,-115.6569951055
S66x8/13-090,-364.0247061393
S66x8/13-095,-364.0254774181
S66x8/13-100,-364.0256724502
S66x8/13-105,-364.025508198
S66x8/13-110,-364.0251308468
S66x8/13-125,-364.0235323428
S66x8/13-150,-364.0211637904
S66x8/13-200,-364.0188589469
S66x8/14-A,-248.3596778644
S66x8/14-B,-95.7863444377
S66x8/14-090,-344.155389042
S66x8/14-095,-344.1563272415
S66x8/14-100,-344.1565973059
S66x8/14-105,-344.1564379538
S66x8/14-110,-344.1560156347
S66x8/14-125,-344.1541248431
S66x8/14-150,-344.1511866932
S66x8/14-200,-344.1482591228
S66x8/15-A,-248.3596305534
S66x8/15-B,-248.3597914997
S66x8/15-090,-496.7301083901
S66x8/15-095,-496.7310457839
S66x8/15-100,-496.7313138302
S66x8/15-105,-496.7311496131
S66x8/15-110,-496.7307169237
S66x8/15-125,-496.7287547155
S66x8/15-150,-496.7256313544
S66x8/15-200,-496.7220107951
S66x8/16-A,-248.3598140711
S66x8/16-B,-76.4005527539
S66x8/16-090,-324.7674648732
S66x8/16-095,-324.7680597746
S66x8/16-100,-324.768167315
S66x8/16-105,-324.7679762428
S66x8/16-110,-324.7676110134
S66x8/16-125,-324.766172919
S66x8/16-150,-324.7641267034
S66x8/16-200,-324.7621595023
S66x8/17-A,-414.5778951667
S66x8/17-B,-414.5780185365
S66x8/17-090,-829.1797149919
S66x8/17-095,-829.1815720615
S66x8/17-100,-829.1820010263
S66x8/17-105,-829.1814975914
S66x8/17-110,-829.1804122526
S66x8/17-125,-829.1757429971
S66x8/17-150,-829.1683952295
S66x8/17-200,-829.1608938655
S66x8/18-A,-76.4005672528
S66x8/18-B,-248.0867408794
S66x8/18-090,-324.4972791132
S66x8/18-095,-324.4978896659
S66x8/18-100,-324.4979038694
S66x8/18-105,-324.4975466028
S66x8/18-110,-324.4969721948
S66x8/18-125,-324.4948221329
S66x8/18-150,-324.4917929473
S66x8/18-200,-324.488968855
S66x8/19-A,-115.6565662443
S66x8/19-B,-248.0867352661
S66x8/19-090,-363.753403984
S66x8/19-095,-363.7542285043
S66x8/19-100,-363.7543826849
S66x8/19-105,-363.7541107212
S66x8/19-110,-363.7537073035
S66x8/19-125,-363.7514126815
S66x8/19-150,-363.7483237995
S66x8/19-200,-363.7452141804
S66x8/20-A,-228.9648405846
S66x8/20-B,-228.9648394683
S66x8/20-090,-457.9571771997
S66x8/20-095,-457.959167022
S66x8/20-100,-457.9595412276
S66x8/20-105,-457.9588736205
S66x8/20-110,-457.9575638759
S66x8/20-125,-457.9522298062
S66x8/20-150,-457.9437801802
S66x8/20-200,-457.9351320252
S66x8/21-A,-209.0894561761
S66x8/21-B,-209.0894592759
S66x8/21-090,-418.2016329812
S66x8/21-095,-418.2033634263
S66x8/21-100,-418.2037387885
S66x8/21-105,-418.2032387965
S66x8/21-110,-418.2021997586
S66x8/21-125,-418.1978074367
S66x8/21-150,-418.1910341044
S66x8/21-200,-418.1835343402
S66x8/22-A,-228.9647699334
S66x8/22-B,-414.5777566637
S66x8/22-090,-643.5703325037
S66x8/22-095,-643.572283207
S66x8/22-100,-643.572706057
S66x8/22-105,-643.5721277508
S66x8/22-110,-643.5709202983
S66x8/22-125,-643.5657427293
S66x8/22-150,-643.5575096021
S66x8/22-200,-643.5488038167
S66x8/23-A,-209.0893812515
S66x8/23-B,-414.5775989135
S66x8/23-090,-623.6940930357
S66x8/23-095,-623.6959523611
S66x8/23-100,-623.6964165308
S66x8/23-105,-623.6959546278
S66x8/23-110,-623.6949008759
S66x8/23-125,-623.6902092374
S66x8/23-150,-623.6825273979
S66x8/23-200,-623.6740925443
S66x8/24-A,-232.0486642993
S66x8/24-B,-232.0486392886
S66x8/24-090,-464.0932377129
S66x8/24-095,-464.0969170159
S66x8/24-100,-464.0985925351
S66x8/24-105,-464.0991873225
S66x8/24-110,-464.0992569436
S66x8/24-125,-464.098498341
S66x8/24-150,-464.097591779
S66x8/24-200,-464.0972994307
S66x8/25-A,-248.0867130055
S66x8/25-B,-248.0867287984
S66x8/25-090,-496.1711713878
S66x8/25-095,-496.1747750764
S66x8/25-100,-496.176432829
S66x8/25-105,-496.1769742083
S66x8/25-110,-496.1769568011
S66x8/25-125,-496.1758909309
S66x8/25-150,-496.1744682509
S66x8/25-200,-496.173721318
S66x8/26-A,-414.5784506182
S66x8/26-B,-414.5784506183
S66x8/26-090,-829.1629490426
S66x8/26-095,-829.1664943363
S66x8/26-100,-829.1677979877
S66x8/26-105,-829.1678505841
S66x8/26-110,-829.1672648177
S66x8/26-125,-829.1643738634
S66x8/26-150,-829.1608289683
S66x8/26-200,-829.1582791528
S66x8/27-A,-232.0486548292
S66x8/27-B,-248.0867376833
S66x8/27-090,-480.1320657442
S66x8/27-095,-480.1359423795
S66x8/27-100,-480.1376534718
S66x8/27-105,-480.1382064377
S66x8/27-110,-480.1381976701
S66x8/27-125,-480.1372383489
S66x8/27-150,-480.1360382926
S66x8/27-200,-480.1355111768
S66x8/28-A,-232.0485939586
S66x8/28-B,-414.5789966239
S66x8/28-090,-646.6273989593
S66x8/28-095,-646.6309563514
S66x8/28-100,-646.6324691167
S66x8/28-105,-646.6328638967
S66x8/28-110,-646.6326340996
S66x8/28-125,-646.6309413878
S66x8/28-150,-646.6288900853
S66x8/28-200,-646.6277625473
S66x8/29-A,-248.0867065614
S66x8/29-B,-414.5789850136
S66x8/29-090,-662.6656766086
S66x8/29-095,-662.6705509701
S66x8/29-100,-662.6723869522
S66x8/29-105,-662.6727074204
S66x8/29-110,-662.6722795178
S66x8/29-125,-662.6700898541
S66x8/29-150,-662.6677319986
S66x8/29-200,-662.666281228
S66x8/30-A,-232.0486514913
S66x8/30-B,-78.51603866
S66x8/30-090,-310.5622951885
S66x8/30-095,-310.5641039601
S66x8/30-100,-310.5649322572
S66x8/30-105,-310.5652325393
S66x8/30-110,-310.5652630459
S66x8/30-125,-310.5649369856
S66x8/30-150,-310.5646145273
S66x8/30-200,-310.5646099388
S66x8/31-A,-414.5790241918
S66x8/31-B,-78.5159969979
S66x8/31-090,-493.0958471356
S66x8/31-095,-493.0973686756
S66x8/31-100,-493.097999313
S66x8/31-105,-493.0981149111
S66x8/31-110,-493.0979630267
S66x8/31-125,-493.097079289
S66x8/31-150,-493.0959866284
S66x8/31-200,-493.0952764324
S66x8/32-A,-414.5790431055
S66x8/32-B,-77.2678877905
S66x8/32-090,-491.848378889
S66x8/32-095,-491.8499865801
S66x8/32-100,-491.8505981939
S66x8/32-105,-491.8506578096
S66x8/32-110,-491.8504227088
S66x8/32-125,-491.8492842521
S66x8/32-150,-491.8479177554
S66x8/32-200,-491.8470358831
S66x8/33-A,-248.0867478976
S66x8/33-B,-78.5160265211
S66x8/33-090,-326.6014657954
S66x8/33-095,-326.6030281956
S66x8/33-100,-326.6037455999
S66x8/33-105,-326.6039850389
S66x8/33-110,-326.6039818267
S66x8/33-125,-326.603516931
S66x8/33-150,-326.6029713585
S66x8/33-200,-326.6027742719
S66x8/34-A,-197.5820937032
S66x8/34-B,-197.5821396769
S66x8/34-090,-395.1637650099
S66x8/34-095,-395.165722823
S66x8/34-100,-395.1665850931
S66x8/34-105,-395.1668454938
S66x8/34-110,-395.1667802954
S66x8/34-125,-395.166106098
S66x8/34-150,-395.1652046911
S66x8/34-200,-395.1646832691
S66x8/35-A,-197.5821115828
S66x8/35-B,-197.5868784344
S66x8/35-090,-395.1682524206
S66x8/35-095,-395.1698442923
S66x8/35-100,-395.1705025591
S66x8/35-105,-395.170677477
S66x8/35-110,-395.1706202339
S66x8/35-125,-395.1701319082
S66x8/35-150,-395.1695461658
S66x8/35-200,-395.1692107415
S66x8/36-A,-197.5868613701
S66x8/36-B,-197.5868583682
S66x8/36-090,-395.173285485
S66x8/36-095,-395.1740763761
S66x8/36-100,-395.1744410699
S66x8/36-105,-395.1745480623
S66x8/36-110,-395.1745362607
S66x8/36-125,-395.1742671539
S66x8/36-150,-395.1739188204
S66x8/36-200,-395.1736895935
S66x8/37-A,-196.3748766934
S66x8/37-B,-197.58680637
S66x8/37-090,-393.9606467074
S66x8/37-095,-393.9622168553
S66x8/37-100,-393.9628999297
S66x8/37-105,-393.9631370725
S66x8/37-110,-393.9631418019
S66x8/37-125,-393.9627478048
S66x8/37-150,-393.9621883482
S66x8/37-200,-393.961847497
S66x8/38-A,-196.374844006
S66x8/38-B,-196.3748492975
S66x8/38-090,-392.7492572441
S66x8/38-095,-392.7507302555
S66x8/38-100,-392.7514614847
S66x8/38-105,-392.7516593912
S66x8/38-110,-392.751581758
S66x8/38-125,-392.7509567596
S66x8/38-150,-392.7502409667
S66x8/38-200,-392.7498408721
S66x8/39-A,-232.0486432776
S66x8/39-B,-196.3748216096
S66x8/39-090,-428.4225883722
S66x8/39-095,-428.4249535168
S66x8/39-100,-428.4260216979
S66x8/39-105,-428.4263456283
S66x8/39-110,-428.4262671891
S66x8/39-125,-428.4253696319
S66x8/39-150,-428.4242695831
S66x8/39-200,-428.4236394777
S66x8/40-A,-232.0486360414
S66x8/40-B,-197.5867728803
S66x8/40-090,-429.6349377828
S66x8/40-095,-429.6367587952
S66x8/40-100,-429.6375449641
S66x8/40-105,-429.6377827841
S66x8/40-110,-429.6377139104
S66x8/40-125,-429.6370300703
S66x8/40-150,-429.6361710989
S66x8/40-200,-429.6356715815
S66x8/41-A,-414.5790107842
S66x8/41-B,-197.5821852722
S66x8/41-090,-612.1617255149
S66x8/41-095,-612.1638675975
S66x8/41-100,-612.1647776425
S66x8/41-105,-612.164976377
S66x8/41-110,-612.1647173695
S66x8/41-125,-612.1633243714
S66x8/41-150,-612.1620076947
S66x8/41-200,-612.1613630893
S66x8/42-A,-414.5790088409
S66x8/42-B,-196.3748290656
S66x8/42-090,-610.9537389247
S66x8/42-095,-610.9559380532
S66x8/42-100,-610.956827205
S66x8/42-105,-610.9570066815
S66x8/42-110,-610.9568317692
S66x8/42-125,-610.9558180673
S66x8/42-150,-610.9546833472
S66x8/42-200,-610.9540495358
S66x8/43-A,-414.5790240308
S66x8/43-B,-197.5868754213
S66x8/43-090,-612.1662180969
S66x8/43-095,-612.1679883004
S66x8/43-100,-612.1686722638
S66x8/43-105,-612.1687720283
S66x8/43-110,-612.1685764773
S66x8/43-125,-612.1676269506
S66x8/43-150,-612.1665772369
S66x8/43-200,-612.1659552979
S66x8/44-A,-78.5160349065
S66x8/44-B,-197.5821017139
S66x8/44-090,-276.0982789939
S66x8/44-095,-276.0991568706
S66x8/44-100,-276.0995024198
S66x8/44-105,-276.0995513964
S66x8/44-110,-276.0994771176
S66x8/44-125,-276.0990600113
S66x8/44-150,-276.0986033244
S66x8/44-200,-276.0983586246
S66x8/45-A,-77.2679040494
S66x8/45-B,-197.5821817533
S66x8/45-090,-274.8495156816
S66x8/45-095,-274.8506560095
S66x8/45-100,-274.8511273324
S66x8/45-105,-274.8512550018
S66x8/45-110,-274.8512133238
S66x8/45-125,-274.8508046758
S66x8/45-150,-274.8503299127
S66x8/45-200,-274.8500406292
S66x8/46-A,-248.3598991202
S66x8/46-B,-197.5821201728
S66x8/46-090,-445.9434008735
S66x8/46-095,-445.9447082234
S66x8/46-100,-445.9452723207
S66x8/46-105,-445.9453843962
S66x8/46-110,-445.9452595619
S66x8/46-125,-445.9443900256
S66x8/46-150,-445.9431116411
S66x8/46-200,-445.9423540317
S66x8/47-A,-232.0486314848
S66x8/47-B,-232.0485648722
S66x8/47-090,-464.0970464699
S66x8/47-095,-464.0989691264
S66x8/47-100,-464.0997808029
S66x8/47-105,-464.0999911275
S66x8/47-110,-464.0999098803
S66x8/47-125,-464.0991264358
S66x8/47-150,-464.0981387235
S66x8/47-200,-464.0975176343
S66x8/48-A,-248.0867224794
S66x8/48-B,-248.0866712542
S66x8/48-090,-496.1747713151
S66x8/48-095,-496.1763721228
S66x8/48-100,-496.1770310244
S66x8/48-105,-496.1771672204
S66x8/48-110,-496.1770255652
S66x8/48-125,-496.1760654883
S66x8/48-150,-496.1748067681
S66x8/48-200,-496.1739004404
S66x8/49-A,-232.0486292894
S66x8/49-B,-248.0867062329
S66x8/49-090,-480.13584382
S66x8/49-095,-480.1377899585
S66x8/49-100,-480.138598103
S66x8/49-105,-480.1387771702
S66x8/49-110,-480.138655496
S66x8/49-125,-480.1377357578
S66x8/49-150,-480.136571399
S66x8/49-200,-480.1357720674
S66x8/50-A,-232.0486287769
S66x8/50-B,-77.2679163727
S66x8/50-090,-309.3177903783
S66x8/50-095,-309.3192422715
S66x8/50-100,-309.3197771674
S66x8/50-105,-309.319822847
S66x8/50-110,-309.3196260601
S66x8/50-125,-309.3186870185
S66x8/50-150,-309.3175772377
S66x8/50-200,-309.3168122617
S66x8/51-A,-77.2679100054
S66x8/51-B,-77.2679285673
S66x8/51-090,-154.5371737255
S66x8/51-095,-154.5376472473
S66x8/51-100,-154.5377800252
S66x8/51-105,-154.5377287016
S66x8/51-110,-154.5375845204
S66x8/51-125,-154.5370372014
S66x8/51-150,-154.5364188651
S66x8/51-200,-154.5359967262
S66x8/52-A,-232.0486299642
S66x8/52-B,-228.9667899385
S66x8/52-090,-461.0193905142
S66x8/52-095,-461.0206470984
S66x8/52-100,-461.0210890478
S66x8/52-105,-461.0210622767
S66x8/52-110,-461.0207733243
S66x8/52-125,-461.0194207051
S66x8/52-150,-461.0176040667
S66x8/52-200,-461.0161394541
S66x8/53-A,-232.0486365118
S66x8/53-B,-209.0903937373
S66x8/53-090,-441.1429616742
S66x8/53-095,-441.1439283512
S66x8/53-100,-441.1442648868
S66x8/53-105,-441.1442263686
S66x8/53-110,-441.1439725138
S66x8/53-125,-441.1427753641
S66x8/53-150,-441.1410945012
S66x8/53-200,-441.1396131353
S66x8/54-A,-232.048619978
S66x8/54-B,-76.4004987988
S66x8/54-090,-308.4524336889
S66x8/54-095,-308.4532692259
S66x8/54-100,-308.4535110063
S66x8/54-105,-308.4534153456
S66x8/54-110,-308.4531492872
S66x8/54-125,-308.4520961112
S66x8/54-150,-308.4507859661
S66x8/54-200,-308.4497140752
S66x8/55-A,-232.0486076868
S66x8/55-B,-115.6569035593
S66x8/55-090,-347.7086462728
S66x8/55-095,-347.7099059774
S66x8/55-100,-347.710396744
S66x8/55-105,-347.7104374032
S66x8/55-110,-347.7102227034
S66x8/55-125,-347.7090841271
S66x8/55-150,-347.7075209737
S66x8/55-200,-347.7062389536
S66x8/56-A,-232.0486310264
S66x8/56-B,-95.7863118438
S66x8/56-090,-327.8362887435
S66x8/56-095,-327.8375683457
S66x8/56-100,-327.8381063117
S66x8/56-105,-327.8382161787
S66x8/56-110,-327.8380582764
S66x8/56-125,-327.8371529441
S66x8/56-150,-327.8360441081
S66x8/56-200,-327.835280925
S66x8/57-A,-232.0486055425
S66x8/57-B,-248.3598706245
S66x8/57-090,-480.410634666
S66x8/57-095,-480.4131260294
S66x8/57-100,-480.4141305223
S66x8/57-105,-480.4143132762
S66x8/57-110,-480.4140717405
S66x8/57-125,-480.4126387742
S66x8/57-150,-480.4107580753
S66x8/57-200,-480.4093294375
S66x8/58-A,-248.0866846547
S66x8/58-B,-248.0866658077
S66x8/58-090,-496.176230124
S66x8/58-095,-496.1779801826
S66x8/58-100,-496.1786899911
S66x8/58-105,-496.1784423054
S66x8/58-110,-496.1778897178
S66x8/58-125,-496.1762168575
S66x8/58-150,-496.174683651
S66x8/58-200,-496.1737432056
S66x8/59-A,-77.2679147416
S66x8/59-B,-76.4005483403
S66x8/59-090,-153.6724205532
S66x8/59-095,-153.6728300543
S66x8/59-100,-153.6728807577
S66x8/59-105,-153.6727203331
S66x8/59-110,-153.6724464421
S66x8/59-125,-153.6714440584
S66x8/59-150,-153.6701600942
S66x8/59-200,-153.6690619912
S66x8/60-A,-77.2678847879
S66x8/60-B,-228.9667646729
S66x8/60-090,-306.2403267666
S66x8/60-095,-306.2411893756
S66x8/60-100,-306.2413893398
S66x8/60-105,-306.2411922409
S66x8/60-110,-306.2407753656
S66x8/60-125,-306.2391504833
S66x8/60-150,-306.2370252114
S66x8/60-200,-306.2353401618
S66x8/61-A,-197.582151299
S66x8/61-B,-228.9668675572
S66x8/61-090,-426.5501767108
S66x8/61-095,-426.5508598572
S66x8/61-100,-426.5511434114
S66x8/61-105,-426.5511865075
S66x8/61-110,-426.5510971063
S66x8/61-125,-426.5505374548
S66x8/61-150,-426.5496752003
S66x8/61-200,-426.5491955262
S66x8/62-A,-197.5821857586
S66x8/62-B,-209.0904334328
S66x8/62-090,-406.6740113294
S66x8/62-095,-406.6750238811
S66x8/62-100,-406.6754231272
S66x8/62-105,-406.675468786
S66x8/62-110,-406.6753280138
S66x8/62-125,-406.6745387304
S66x8/62-150,-406.6735483579
S66x8/62-200,-406.672880978
S66x8/63-A,-232.0486516649
S66x8/63-B,-228.9668146007
S66x8/63-090,-461.0163380724
S66x8/63-095,-461.0182316031
S66x8/63-100,-461.0189840804
S66x8/63-105,-461.0191265894
S66x8/63-110,-461.0189410059
S66x8/63-125,-461.0178774131
S66x8/63-150,-461.0165690394
S66x8/63-200,-461.0157558168
S66x8/64-A,-248.3599010705
S66x8/64-B,-78.5160263819
S66x8/64-090,-326.8777229943
S66x8/64-095,-326.8785516888
S66x8/64-100,-326.8788586078
S66x8/64-105,-326.8788547915
S66x8/64-110,-326.8786855649
S66x8/64-125,-326.8779022057
S66x8/64-150,-326.8768434119
S66x8/64-200,-326.8761191244
S66x8/65-A,-248.0867478491
S66x8/65-B,-77.2675963927
S66x8/65-090,-325.3598469185
S66x8/65-095,-325.3604159193
S66x8/65-100,-325.360531245
S66x8/65-105,-325.3603681011
S66x8/65-110,-325.3600442993
S66x8/65-125,-325.358765064
S66x8/65-150,-325.3570141249
S66x8/65-200,-325.3554944821
S66x8/66-A,-95.7863109329
S66x8/66-B,-248.0867386616
S66x8/66-090,-343.8762896917
S66x8/66-095,-343.8772034413
S66x8/66-100,-343.877557012
S66x8/66-105,-343.8775605436
S66x8/66-110,-343.877362373
S66x8/66-125,-343.8763452987
