system,PW91/def2-QZVP/ORCA
S22x5/13-1.0,-464.4954529617
S22x5/13-1.2,-464.4962971569
S22x5/13-1.5,-464.495774936
S22x5/13-2.0,-464.4949499993
S22x5/14-A,-232.2472827023
S22x5/14-B,-232.2472827024
S22x5/14-0.9,-464.4849797861
S22x5/14-1.0,-464.4924229168
S22x5/14-1.2,-464.495165846
S22x5/14-1.5,-464.4949341884
S22x5/14-2.0,-464.494532894
S22x5/15-A,-232.2472943831
S22x5/15-B,-363.8374549746
S22x5/15-0.9,-596.0862387778
S22x5/15-1.0,-596.0888573585
S22x5/15-1.2,-596.0895569272
S22x5/15-1.5,-596.0880998263
S22x5/15-2.0,-596.0861442548
S22x5/16-A,-232.2472831569
S22x5/16-B,-363.8373800676
S22x5/16-0.9,-596.0733447608
S22x5/16-1.0,-596.0822279011
S22x5/16-1.2,-596.0855427753
S22x5/16-1.5,-596.085188577
S22x5/16-2.0,-596.0845115025
S22x5/17-A,-264.3365390463
S22x5/17-B,-264.3365400482
S22x5/17-0.9,-528.6650392058
S22x5/17-1.0,-528.6727888179
S22x5/17-1.2,-528.6750488932
S22x5/17-1.5,-528.6740932279
S22x5/17-2.0,-528.6732006742
S22x5/18-A,-323.5568182599
S22x5/18-B,-303.6752205302
S22x5/18-0.9,-627.2558042646
S22x5/18-1.0,-627.2577694341
S22x5/18-1.2,-627.2531727204
S22x5/18-1.5,-627.2445461631
S22x5/18-2.0,-627.2372319599
S22x5/19-A,-307.4943480392
S22x5/19-B,-307.4943202022
S22x5/19-0.9,-614.9942614123
S22x5/19-1.0,-614.9958947117
S22x5/19-1.2,-614.9951928887
S22x5/19-1.5,-614.9928893385
S22x5/19-2.0,-614.9905567589
S22x5/20-A,-414.8928473328
S22x5/20-B,-414.8928473329
S22x5/20-0.9,-829.7818937321
S22x5/20-1.0,-829.7912595424
S22x5/20-1.2,-829.7919698311
S22x5/20-1.5,-829.7888665712
S22x5/20-2.0,-829.7865663237
S22x5/21-A,-414.8922795185
S22x5/21-B,-414.8922795185
S22x5/21-0.9,-829.8131203055
S22x5/21-1.0,-829.8153916175
S22x5/21-1.2,-829.8101159605
S22x5/21-1.5,-829.8002318374
S22x5/21-2.0,-829.7915444123
S22x5/22-A,-232.2472905397
S22x5/22-B,-93.4308674851
S22x5/22-0.9,-325.6819711402
S22x5/22-1.0,-325.6832681617
S22x5/22-1.2,-325.682883093
S22x5/22-1.5,-325.6811807592
S22x5/22-2.0,-325.6793941457
S66x8/01-A,-76.4448908109
S66x8/01-B,-76.4449353366
S66x8/01-090,-152.8984825247
S66x8/01-095,-152.8988033649
S66x8/01-100,-152.8986855016
S66x8/01-105,-152.8983101298
S66x8/01-110,-152.8977983129
S66x8/01-125,-152.8960692161
S66x8/01-150,-152.893769275
S66x8/01-200,-152.891471856
S66x8/02-A,-76.4448945876
S66x8/02-B,-115.736486562
S66x8/02-090,-192.1902131924
S66x8/02-095,-192.1906815306
S66x8/02-100,-192.1906451976
S66x8/02-105,-192.1903054944
S66x8/02-110,-192.1897979153
S66x8/02-125,-192.1879945561
S66x8/02-150,-192.1855270205
S66x8/02-200,-192.1830540655
S66x8/03-A,-76.4448921468
S66x8/03-B,-95.8611238604
S66x8/03-090,-172.3181420184
S66x8/03-095,-172.3185047542
S66x8/03-100,-172.3183146546
S66x8/03-105,-172.3177877303
S66x8/03-110,-172.3170731075
S66x8/03-125,-172.3146244706
S66x8/03-150,-172.3113106939
S66x8/03-200,-172.308092549
S66x8/04-A,-76.4448947477
S66x8/04-B,-248.5502266069
S66x8/04-090,-325.0071377159
S66x8/04-095,-325.0077228279
S66x8/04-100,-325.0077143122
S66x8/04-105,-325.0073389059
S66x8/04-110,-325.0067496453
S66x8/04-125,-325.0045534791
S66x8/04-150,-325.0013749996
S66x8/04-200,-324.9975704066
S66x8/05-A,-115.7364616643
S66x8/05-B,-115.7365146803
S66x8/05-090,-231.4815776456
S66x8/05-095,-231.4821598145
S66x8/05-100,-231.4822060244
S66x8/05-105,-231.4819253176
S66x8/05-110,-231.4814577842
S66x8/05-125,-231.4796975875
S66x8/05-150,-231.4771981138
S66x8/05-200,-231.4746456188
S66x8/06-A,-115.7363488374
S66x8/06-B,-95.8611269942
S66x8/06-090,-211.6092532019
S66x8/06-095,-211.609953389
S66x8/06-100,-211.6099943396
S66x8/06-105,-211.6096185208
S66x8/06-110,-211.6089928455
S66x8/06-125,-211.6066088682
S66x8/06-150,-211.6031526356
S66x8/06-200,-211.5996882114
S66x8/07-A,-115.7364394149
S66x8/07-B,-248.5498203412
S66x8/07-090,-364.2980335801
S66x8/07-095,-364.2987682596
S66x8/07-100,-364.2988599167
S66x8/07-105,-364.298548114
S66x8/07-110,-364.2979956655
S66x8/07-125,-364.2958192591
S66x8/07-150,-364.2921330052
S66x8/07-200,-364.2880568487
S66x8/08-A,-115.7364581677
S66x8/08-B,-76.444938394
S66x8/08-090,-192.1897514092
S66x8/08-095,-192.1901753799
S66x8/08-100,-192.1901325607
S66x8/08-105,-192.1898102098
S66x8/08-110,-192.1893341089
S66x8/08-125,-192.1876476014
S66x8/08-150,-192.1853332481
S66x8/08-200,-192.1829977095
S66x8/09-A,-95.8610722487
S66x8/09-B,-115.7364855562
S66x8/09-090,-211.6014456776
S66x8/09-095,-211.6019219939
S66x8/09-100,-211.6020381518
S66x8/09-105,-211.6019423478
S66x8/09-110,-211.6017237823
S66x8/09-125,-211.6008397937
S66x8/09-150,-211.5995630127
S66x8/09-200,-211.5982836368
S66x8/10-A,-95.8611925829
S66x8/10-B,-95.8611159359
S66x8/10-090,-191.7270636729
S66x8/10-095,-191.7277828067
S66x8/10-100,-191.7279943605
S66x8/10-105,-191.7278965316
S66x8/10-110,-191.7276286311
S66x8/10-125,-191.7264951275
S66x8/10-150,-191.7244937709
S66x8/10-200,-191.7228901447
S66x8/11-A,-95.861088834
S66x8/11-B,-248.549981915
S66x8/11-090,-344.4161708639
S66x8/11-095,-344.4170664799
S66x8/11-100,-344.4174158947
S66x8/11-105,-344.4174227663
S66x8/11-110,-344.4172251486
S66x8/11-125,-344.4155285742
S66x8/11-150,-344.4133092206
S66x8/11-200,-344.4117400049
S66x8/12-A,-95.8610890458
S66x8/12-B,-76.4449832927
S66x8/12-090,-172.3178310006
S66x8/12-095,-172.3183967734
S66x8/12-100,-172.3183362641
S66x8/12-105,-172.3178889752
S66x8/12-110,-172.3172188384
S66x8/12-125,-172.3147967324
S66x8/12-150,-172.3114239964
S66x8/12-200,-172.3081086024
S66x8/13-A,-248.5498882896
S66x8/13-B,-115.7365036385
S66x8/13-090,-364.2936239575
S66x8/13-095,-364.2944305026
S66x8/13-100,-364.2946925577
S66x8/13-105,-364.2946128608
S66x8/13-110,-364.2943295504
S66x8/13-125,-364.293018628
S66x8/13-150,-364.2909172385
S66x8/13-200,-364.2884633872
S66x8/14-A,-248.5497603518
S66x8/14-B,-95.8611400684
S66x8/14-090,-344.4205560536
S66x8/14-095,-344.4214333544
S66x8/14-100,-344.4216718984
S66x8/14-105,-344.4215023776
S66x8/14-110,-344.4210850283
S66x8/14-125,-344.419268028
S66x8/14-150,-344.4164158454
S66x8/14-200,-344.4132921143
S66x8/15-A,-248.5502064387
S66x8/15-B,-248.5501641384
S66x8/15-090,-497.1102289413
S66x8/15-095,-497.1111953439
S66x8/15-100,-497.1115283209
S66x8/15-105,-497.1114507597
S66x8/15-110,-497.1111181311
S66x8/15-125,-497.1094846316
S66x8/15-150,-497.1067594793
S66x8/15-200,-497.1031134659
S66x8/16-A,-248.5502952701
S66x8/16-B,-76.4449352764
S66x8/16-090,-325.0025947036
S66x8/16-095,-325.0031499739
S66x8/16-100,-325.003248789
S66x8/16-105,-325.0030697787
S66x8/16-110,-325.0027308537
S66x8/16-125,-325.0013837442
S66x8/16-150,-324.9993667642
S66x8/16-200,-324.997127712
S66x8/17-A,-414.8925153246
S66x8/17-B,-414.8925903566
S66x8/17-090,-829.809268354
S66x8/17-095,-829.8108696249
S66x8/17-100,-829.8111151404
S66x8/17-105,-829.8104944743
S66x8/17-110,-829.8093496288
S66x8/17-125,-829.8047297008
S66x8/17-150,-829.7976860597
S66x8/17-200,-829.790356227
S66x8/18-A,-76.4448973709
S66x8/18-B,-248.2935579078
S66x8/18-090,-324.7500148727
S66x8/18-095,-324.7504310906
S66x8/18-100,-324.7502871465
S66x8/18-105,-324.7498020295
S66x8/18-110,-324.7491263487
S66x8/18-125,-324.7467848744
S66x8/18-150,-324.7436132243
S66x8/18-200,-324.7405230192
S66x8/19-A,-115.7363510677
S66x8/19-B,-248.2935525191
S66x8/19-090,-364.0411510781
S66x8/19-095,-364.0418083916
S66x8/19-100,-364.0418284237
S66x8/19-105,-364.0414507184
S66x8/19-110,-364.040898804
S66x8/19-125,-364.0385311787
S66x8/19-150,-364.0352920415
S66x8/19-200,-364.031977327
S66x8/20-A,-229.1256647368
S66x8/20-B,-229.1256676209
S66x8/20-090,-458.2808421152
S66x8/20-095,-458.2825622993
S66x8/20-100,-458.2826868252
S66x8/20-105,-458.2818043235
S66x8/20-110,-458.2803211726
S66x8/20-125,-458.2744554118
S66x8/20-150,-458.2659023149
S66x8/20-200,-458.2572515166
S66x8/21-A,-209.2459674956
S66x8/21-B,-209.2459690394
S66x8/21-090,-418.515541649
S66x8/21-095,-418.5169933035
S66x8/21-100,-418.517165411
S66x8/21-105,-418.5165297917
S66x8/21-110,-418.5154097075
S66x8/21-125,-418.5109997275
S66x8/21-150,-418.5044334811
S66x8/21-200,-418.4968863637
S66x8/22-A,-229.1255923425
S66x8/22-B,-414.8923181051
S66x8/22-090,-644.0466872505
S66x8/22-095,-644.0483781635
S66x8/22-100,-644.0485879466
S66x8/22-105,-644.0478428615
S66x8/22-110,-644.0465142055
S66x8/22-125,-644.0411925394
S66x8/22-150,-644.0330748745
S66x8/22-200,-644.0245063426
S66x8/23-A,-209.2458511508
S66x8/23-B,-414.8922832814
S66x8/23-090,-624.1657601094
S66x8/23-095,-624.1673828717
S66x8/23-100,-624.1676704077
S66x8/23-105,-624.1670861574
S66x8/23-110,-624.1659576675
S66x8/23-125,-624.1612495624
S66x8/23-150,-624.1538024718
S66x8/23-200,-624.1455112155
S66x8/24-A,-232.2472766677
S66x8/24-B,-232.2473041383
S66x8/24-090,-464.4854786595
S66x8/24-095,-464.4900123642
S66x8/24-100,-464.4925201053
S66x8/24-105,-464.4938499819
S66x8/24-110,-464.4945687136
S66x8/24-125,-464.4951735626
S66x8/24-150,-464.4948971682
S66x8/24-200,-464.4945317208
S66x8/25-A,-248.2935860971
S66x8/25-B,-248.2936031448
S66x8/25-090,-496.5795039939
S66x8/25-095,-496.5839270937
S66x8/25-100,-496.5864031428
S66x8/25-105,-496.5877287409
S66x8/25-110,-496.5883925468
S66x8/25-125,-496.5887803233
S66x8/25-150,-496.5881507939
S66x8/25-200,-496.5873715307
S66x8/26-A,-414.8928483811
S66x8/26-B,-414.8928483811
S66x8/26-090,-829.7844328792
S66x8/26-095,-829.7889428452
S66x8/26-100,-829.7912618229
S66x8/26-105,-829.792313338
S66x8/26-110,-829.7926537047
S66x8/26-125,-829.7918457014
S66x8/26-150,-829.7895911606
S66x8/26-200,-829.7869507468
S66x8/27-A,-232.2472963377
S66x8/27-B,-248.2936013235
S66x8/27-090,-480.5322987296
S66x8/27-095,-480.5370219338
S66x8/27-100,-480.5396054208
S66x8/27-105,-480.5409236436
S66x8/27-110,-480.5415890713
S66x8/27-125,-480.5420279758
S66x8/27-150,-480.5415367159
S66x8/27-200,-480.5409486223
S66x8/28-A,-232.2472740061
S66x8/28-B,-414.8932830372
S66x8/28-090,-647.1337597494
S66x8/28-095,-647.1382314017
S66x8/28-100,-647.1407345188
S66x8/28-105,-647.1420122246
S66x8/28-110,-647.1425980027
S66x8/28-125,-647.1427420337
S66x8/28-150,-647.1417999615
S66x8/28-200,-647.1406288461
S66x8/29-A,-248.293583785
S66x8/29-B,-414.8932168765
S66x8/29-090,-663.1799633067
S66x8/29-095,-663.1858416924
S66x8/29-100,-663.1887507059
S66x8/29-105,-663.19008274
S66x8/29-110,-663.1906066877
S66x8/29-125,-663.1903205685
S66x8/29-150,-663.1888375783
S66x8/29-200,-663.1873127224
S66x8/30-A,-232.2472922113
S66x8/30-B,-78.5819156458
S66x8/30-090,-310.8249657765
S66x8/30-095,-310.8270984539
S66x8/30-100,-310.8282723964
S66x8/30-105,-310.8289049757
S66x8/30-110,-310.8292344261
S66x8/30-125,-310.8294769261
S66x8/30-150,-310.8293173502
S66x8/30-200,-310.8291065352
S66x8/31-A,-414.8932733183
S66x8/31-B,-78.5819962608
S66x8/31-090,-493.4735613486
S66x8/31-095,-493.4754973831
S66x8/31-100,-493.4765535644
S66x8/31-105,-493.4770768312
S66x8/31-110,-493.4772906155
S66x8/31-125,-493.4771516619
S66x8/31-150,-493.4763774707
S66x8/31-200,-493.4754491491
S66x8/32-A,-414.8932039235
S66x8/32-B,-77.3279111556
S66x8/32-090,-492.2204260495
S66x8/32-095,-492.2223894413
S66x8/32-100,-492.2233833743
S66x8/32-105,-492.2238100395
S66x8/32-110,-492.2239174849
S66x8/32-125,-492.2234824273
S66x8/32-150,-492.2224180215
S66x8/32-200,-492.2213103723
S66x8/33-A,-248.2935894082
S66x8/33-B,-78.5818668847
S66x8/33-090,-326.8722605195
S66x8/33-095,-326.8741236934
S66x8/33-100,-326.8751766807
S66x8/33-105,-326.8757493263
S66x8/33-110,-326.876040236
S66x8/33-125,-326.8761922989
S66x8/33-150,-326.8758886169
S66x8/33-200,-326.8754834255
S66x8/34-A,-197.7495210259
S66x8/34-B,-197.7493400076
S66x8/34-090,-395.4954224834
S66x8/34-095,-395.497912919
S66x8/34-100,-395.499318475
S66x8/34-105,-395.5001024751
S66x8/34-110,-395.5004730454
S66x8/34-125,-395.5008513135
S66x8/34-150,-395.5002459885
S66x8/34-200,-395.4992807146
S66x8/35-A,-197.7494514025
S66x8/35-B,-197.7519913393
S66x8/35-090,-395.498966602
S66x8/35-095,-395.5009574111
S66x8/35-100,-395.5019964851
S66x8/35-105,-395.5025170235
S66x8/35-110,-395.502717013
S66x8/35-125,-395.5027871554
S66x8/35-150,-395.5022842635
S66x8/35-200,-395.5016105638
S66x8/36-A,-197.7520361449
S66x8/36-B,-197.7521191702
S66x8/36-090,-395.5029603307
S66x8/36-095,-395.5039516544
S66x8/36-100,-395.5045390017
S66x8/36-105,-395.504841254
S66x8/36-110,-395.5049672608
S66x8/36-125,-395.5049529941
S66x8/36-150,-395.5045629028
S66x8/36-200,-395.5040395138
S66x8/37-A,-196.5422067668
S66x8/37-B,-197.7518578745
S66x8/37-090,-394.2914831543
S66x8/37-095,-394.2934406665
S66x8/37-100,-394.2944716706
S66x8/37-105,-394.2950111243
S66x8/37-110,-394.2952968795
S66x8/37-125,-394.2954284521
S66x8/37-150,-394.2950141594
S66x8/37-200,-394.2943658298
S66x8/38-A,-196.5421347557
S66x8/38-B,-196.542150292
S66x8/38-090,-393.0817653488
S66x8/38-095,-393.0835983323
S66x8/38-100,-393.0847337007
S66x8/38-105,-393.0853160791
S66x8/38-110,-393.0856215742
S66x8/38-125,-393.0857127497
S66x8/38-150,-393.0851692788
S66x8/38-200,-393.0844030436
S66x8/39-A,-232.2472995353
S66x8/39-B,-196.5421139866
S66x8/39-090,-428.7849763364
S66x8/39-095,-428.7878824555
S66x8/39-100,-428.7895208401
S66x8/39-105,-428.7904055937
S66x8/39-110,-428.7908181562
S66x8/39-125,-428.7909274738
S66x8/39-150,-428.7903396206
S66x8/39-200,-428.7895359202
S66x8/40-A,-232.2473034716
S66x8/40-B,-197.7522115974
S66x8/40-090,-429.9962265103
S66x8/40-095,-429.9984987009
S66x8/40-100,-429.9997265865
S66x8/40-105,-430.0003520984
S66x8/40-110,-430.0006345922
S66x8/40-125,-430.0006507417
S66x8/40-150,-430.0000807615
S66x8/40-200,-429.9993623412
S66x8/41-A,-414.8933401354
S66x8/41-B,-197.7495298195
S66x8/41-090,-612.6386970755
S66x8/41-095,-612.6415845164
S66x8/41-100,-612.6432591525
S66x8/41-105,-612.6442058358
S66x8/41-110,-612.6447368375
S66x8/41-125,-612.6447929716
S66x8/41-150,-612.6438926813
S66x8/41-200,-612.6429437443
S66x8/42-A,-414.8933495216
S66x8/42-B,-196.5421486455
S66x8/42-090,-611.4310878221
S66x8/42-095,-611.434067261
S66x8/42-100,-611.4357004113
S66x8/42-105,-611.4365577596
S66x8/42-110,-611.4369904624
S66x8/42-125,-611.4371717387
S66x8/42-150,-611.4365328565
S66x8/42-200,-611.4356271018
S66x8/43-A,-414.8932964451
S66x8/43-B,-197.7517850099
S66x8/43-090,-612.6425654656
S66x8/43-095,-612.6449153531
S66x8/43-100,-612.6462025576
S66x8/43-105,-612.6468343217
S66x8/43-110,-612.6470949231
S66x8/43-125,-612.6470299183
S66x8/43-150,-612.64628324
S66x8/43-200,-612.6453956564
S66x8/44-A,-78.5819240339
S66x8/44-B,-197.7496063792
S66x8/44-090,-276.3304615588
S66x8/44-095,-276.3316076797
S66x8/44-100,-276.3322219234
S66x8/44-105,-276.332518779
S66x8/44-110,-276.3326511989
S66x8/44-125,-276.3326330707
S66x8/44-150,-276.3321570328
S66x8/44-200,-276.3315455045
S66x8/45-A,-77.3279011696
S66x8/45-B,-197.7494509071
S66x8/45-090,-275.0758879262
S66x8/45-095,-275.0772738528
S66x8/45-100,-275.0780079793
S66x8/45-105,-275.0783645122
S66x8/45-110,-275.0785065483
S66x8/45-125,-275.0784204989
S66x8/45-150,-275.0778924714
S66x8/45-200,-275.0773219991
S66x8/46-A,-248.5502806673
S66x8/46-B,-197.7493583627
S66x8/46-090,-446.2980066287
S66x8/46-095,-446.2998338404
S66x8/46-100,-446.3009214091
S66x8/46-105,-446.301532642
S66x8/46-110,-446.3018454799
S66x8/46-125,-446.3019834961
S66x8/46-150,-446.3012035345
S66x8/46-200,-446.3000117076
S66x8/47-A,-232.2472966262
S66x8/47-B,-232.2472996926
S66x8/47-090,-464.4917758454
S66x8/47-095,-464.4941248522
S66x8/47-100,-464.4953411182
S66x8/47-105,-464.495945057
S66x8/47-110,-464.4962124396
S66x8/47-125,-464.4961568555
S66x8/47-150,-464.4955284404
S66x8/47-200,-464.4947756346
S66x8/48-A,-248.2936005459
S66x8/48-B,-248.2935928756
S66x8/48-090,-496.5859547352
S66x8/48-095,-496.5878999073
S66x8/48-100,-496.5889309831
S66x8/48-105,-496.5894421496
S66x8/48-110,-496.5896373886
S66x8/48-125,-496.5894412603
S66x8/48-150,-496.5886396528
S66x8/48-200,-496.5875992189
S66x8/49-A,-232.2473020136
S66x8/49-B,-248.293576739
S66x8/49-090,-480.5388101175
S66x8/49-095,-480.5411577813
S66x8/49-100,-480.5423604101
S66x8/49-105,-480.5429227509
S66x8/49-110,-480.5431520965
S66x8/49-125,-480.5429577488
S66x8/49-150,-480.5421592408
S66x8/49-200,-480.5412341165
S66x8/50-A,-232.2472877774
S66x8/50-B,-77.3279608206
S66x8/50-090,-309.5753532118
S66x8/50-095,-309.5769588846
S66x8/50-100,-309.5777025112
S66x8/50-105,-309.5779593153
S66x8/50-110,-309.5779711018
S66x8/50-125,-309.5774677212
S66x8/50-150,-309.5764895246
S66x8/50-200,-309.575532596
S66x8/51-A,-77.3279092669
S66x8/51-B,-77.3279613421
S66x8/51-090,-154.6576259631
S66x8/51-095,-154.6580445717
S66x8/51-100,-154.6581600203
S66x8/51-105,-154.658108489
S66x8/51-110,-154.657968873
S66x8/51-125,-154.6574109088
S66x8/51-150,-154.6566462613
S66x8/51-200,-154.6560140804
S66x8/52-A,-232.2472830126
S66x8/52-B,-229.1273048411
S66x8/52-090,-461.3771731346
S66x8/52-095,-461.3785784211
S66x8/52-100,-461.3791919712
S66x8/52-105,-461.3793558564
S66x8/52-110,-461.3792625402
S66x8/52-125,-461.3783906981
S66x8/52-150,-461.3769078962
S66x8/52-200,-461.3753126816
S66x8/53-A,-232.2472727799
S66x8/53-B,-209.2466326252
S66x8/53-090,-441.4968212184
S66x8/53-095,-441.4978836524
S66x8/53-100,-441.4983647132
S66x8/53-105,-441.4984842903
S66x8/53-110,-441.4983908875
S66x8/53-125,-441.4976150204
S66x8/53-150,-441.4962058058
S66x8/53-200,-441.4945612659
S66x8/54-A,-232.2472907657
S66x8/54-B,-76.4448634008
S66x8/54-090,-308.6952792389
S66x8/54-095,-308.6961558831
S66x8/54-100,-308.6964765959
S66x8/54-105,-308.6964750752
S66x8/54-110,-308.6963014807
S66x8/54-125,-308.6954554459
S66x8/54-150,-308.6941439378
S66x8/54-200,-308.692772859
S66x8/55-A,-232.2472896045
S66x8/55-B,-115.7364753131
S66x8/55-090,-347.985732471
S66x8/55-095,-347.9871017113
S66x8/55-100,-347.9877373772
S66x8/55-105,-347.9879676514
S66x8/55-110,-347.9879521773
S66x8/55-125,-347.9872831898
S66x8/55-150,-347.985982817
S66x8/55-200,-347.9844571839
S66x8/56-A,-232.2472942944
S66x8/56-B,-95.861055272
S66x8/56-090,-328.1081180624
S66x8/56-095,-328.1096379191
S66x8/56-100,-328.1104333763
S66x8/56-105,-328.110829727
S66x8/56-110,-328.1109494007
S66x8/56-125,-328.1106054703
S66x8/56-150,-328.1097055031
S66x8/56-200,-328.10870304
S66x8/57-A,-232.2473004533
S66x8/57-B,-248.5502666989
S66x8/57-090,-480.7966494499
S66x8/57-095,-480.7995746162
S66x8/57-100,-480.8010372729
S66x8/57-105,-480.8016531425
S66x8/57-110,-480.8018274195
S66x8/57-125,-480.801286442
S66x8/57-150,-480.7999103502
S66x8/57-200,-480.7983285744
S66x8/58-A,-248.293595052
S66x8/58-B,-248.2935652199
S66x8/58-090,-496.5891558208
S66x8/58-095,-496.5909038615
S66x8/58-100,-496.5917565562
S66x8/58-105,-496.5917100502
S66x8/58-110,-496.5913585944
S66x8/58-125,-496.5900832718
S66x8/58-150,-496.5886396674
S66x8/58-200,-496.587498105
S66x8/59-A,-77.3280043304
S66x8/59-B,-76.4449214471
S66x8/59-090,-153.7770293596
S66x8/59-095,-153.7773603493
S66x8/59-100,-153.7773696197
S66x8/59-105,-153.7771926591
S66x8/59-110,-153.7769148105
S66x8/59-125,-153.7759165544
S66x8/59-150,-153.7745340327
S66x8/59-200,-153.7731496832
S66x8/60-A,-77.3279264427
S66x8/60-B,-229.1272913981
S66x8/60-090,-306.4616477303
S66x8/60-095,-306.4623383402
S66x8/60-100,-306.4624347537
S66x8/60-105,-306.4621870894
S66x8/60-110,-306.4617562603
S66x8/60-125,-306.4601657171
S66x8/60-150,-306.4580615247
S66x8/60-200,-306.4561047525
S66x8/61-A,-197.7494624443
S66x8/61-B,-229.1273374327
S66x8/61-090,-426.8762632557
S66x8/61-095,-426.8772924427
S66x8/61-100,-426.8779107868
S66x8/61-105,-426.8782624766
S66x8/61-110,-426.8784461072
S66x8/61-125,-426.8784935503
S66x8/61-150,-426.8778381829
S66x8/61-200,-426.876957561
S66x8/62-A,-197.7495071819
S66x8/62-B,-209.2465940425
S66x8/62-090,-406.9955315098
S66x8/62-095,-406.996911863
S66x8/62-100,-406.9977049572
S66x8/62-105,-406.9981061366
S66x8/62-110,-406.9982756253
S66x8/62-125,-406.9981897739
S66x8/62-150,-406.9974636869
S66x8/62-200,-406.9963820627
S66x8/63-A,-232.247283402
S66x8/63-B,-229.1273176537
S66x8/63-090,-461.3726940015
S66x8/63-095,-461.3750204718
S66x8/63-100,-461.3762399944
S66x8/63-105,-461.3768324226
S66x8/63-110,-461.3770338989
S66x8/63-125,-461.3767934592
S66x8/63-150,-461.3758699652
S66x8/63-200,-461.3748564535
S66x8/64-A,-248.5501759745
S66x8/64-B,-78.5820151238
S66x8/64-090,-327.1327916583
S66x8/64-095,-327.1338446545
S66x8/64-100,-327.1343826748
S66x8/64-105,-327.13460811
S66x8/64-110,-327.1346540721
S66x8/64-125,-327.1343089593
S66x8/64-150,-327.1333710374
S66x8/64-200,-327.1322683715
S66x8/65-A,-248.2935852847
S66x8/65-B,-77.3276465965
S66x8/65-090,-325.6273842554
S66x8/65-095,-325.627792598
S66x8/65-100,-325.6278029249
S66x8/65-105,-325.62757454
S66x8/65-110,-325.627214879
S66x8/65-125,-325.6259175071
S66x8/65-150,-325.6241539672
S66x8/65-200,-325.6224235261
S66x8/66-A,-95.8609809238
S66x8/66-B,-248.2935764698
S66x8/66-090,-344.1567261627
S66x8/66-095,-344.1577326782
S66x8/66-100,-344.1582351302
S66x8/66-105,-344.1584245612
S66x8/66-110,-344.1584183714
S66x8/66-125,-344.1578916561
